layers,neurons,epochs,batch.size,regularization,selection,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
1,5,25,3,NA,0,28.824112885419954,50.04774790294761,3.663556724981485,5.228287010565736,0.7846307631917512,0.6399221510703818
2,5,25,3,NA,0,27.35567939746571,58.3400246951,3.493581425293489,5.644748003745908,0.7936498823856207,0.6003660552855528
3,5,25,3,NA,0,24.146999988118758,52.849437011399665,3.2208704210083923,5.392049224475358,0.8213924360347253,0.6208436958352127
4,5,25,3,NA,0,27.29617572152281,171.92762363162683,3.53050213524724,9.149483601358924,0.7976571745504304,0.21088987749646793
1,10,25,3,NA,0,24.42319626525501,53.03390149012855,3.176379008496546,5.42173979491542,0.823168099255781,0.6260223378063112
2,10,25,3,NA,0,21.117629474713844,51.988568249332005,3.069536287261582,5.195521352264177,0.84666145928992,0.6357927127722632
3,10,25,3,NA,0,21.707473965780654,58.376810531975785,2.9955036457334,5.637591290918895,0.8453615057226377,0.6043295625473474
4,10,25,3,NA,0,30.465781563556142,56.56526571842324,3.8449693034058523,5.557816154986306,0.839605709731121,0.6008597555982695
1,20,25,3,NA,0,18.152119100804466,56.436185016287126,2.8852294150487987,5.5798277999647325,0.8645737313315476,0.6137409515656347
2,20,25,3,NA,0,21.94565786062815,52.35807915843021,3.2420400439698005,5.304616695479437,0.8912993157132695,0.6276907696358345
3,20,25,3,NA,0,17.911788930069857,54.30142025949001,2.874771608661751,5.507182408300886,0.88268770629597,0.6168497216393245
4,20,25,3,NA,0,17.706466228366825,61.22246502595795,2.7883416777505303,5.676767398127617,0.868839791734736,0.5847744340268453
1,50,25,3,NA,0,17.18992291104285,59.00326663093859,2.6656835486157666,5.706175870640607,0.8832478481999815,0.6096181688593783
2,50,25,3,NA,0,13.262077382942431,56.342383008567694,2.411282498932488,5.4624510976220275,0.9020163983029575,0.6123760860096122
3,50,25,3,NA,0,18.1080254986949,60.09441086895774,2.889138815139309,5.5536925880883175,0.9101677650438156,0.5943625499444319
4,50,25,3,NA,0,13.547582622554188,62.44692005046197,2.4679560188739083,5.867720908268997,0.9048830503545052,0.5815215443526368
1,100,25,3,NA,0,12.345883743793006,52.41738746510366,2.3552331965952593,5.407611686262601,0.9064599923556222,0.6258790319277628
2,100,25,3,NA,0,16.0640031469531,59.95376677551151,2.718495638655069,5.607725514145722,0.9084375261691997,0.5807453963352237
3,100,25,3,NA,0,12.55962983319081,57.48040858689029,2.3638313927233248,5.486552070212431,0.9089547289917871,0.592953879667823
4,100,25,3,NA,0,10.955683016118158,58.35468129106782,2.2251277825989697,5.597089808497033,0.9176034941705854,0.5784850920722723
1,200,25,3,NA,0,20.31435022655667,53.072376708787075,3.132893440885299,5.429039331853882,0.8928026190916873,0.6301764720353128
2,200,25,3,NA,0,16.969034111948574,65.28090530454259,2.7524510971876466,5.802493600389667,0.8972467934203161,0.5588413327324057
3,200,25,3,NA,0,24.236992413517843,64.24734391527184,3.5091931541461028,5.6654095084629805,0.8847742410840863,0.5679044313672288
4,200,25,3,NA,0,19.927048813037423,56.73145139375667,3.0338723611782035,5.518570360740121,0.9109149734244181,0.5918377374875938
1,5,50,3,NA,0,26.142974882261377,61.62112735433915,3.3376555329448125,5.757278961890151,0.8088362266148393,0.6050893441986864
2,5,50,3,NA,0,18.919550848647017,56.82835135084622,2.8486139132635198,5.538240865077128,0.864591390718848,0.6041271974192314
3,5,50,3,NA,0,27.04340612028068,60.33526020007342,3.413152779911421,5.6452008402534215,0.8062559968843114,0.5857900231184823
4,5,50,3,NA,0,25.542338769130676,60.543213074776524,3.306370468353232,5.787009996343397,0.8266557439760107,0.5912881334569435
1,10,50,3,NA,0,18.321184528880377,55.58861432318443,2.8589750449380347,5.6495793844892175,0.8624557806943068,0.6168228360835057
2,10,50,3,NA,0,24.49201442213967,53.88022021075531,3.495517289878602,5.361618234313473,0.8818428771473921,0.6178011568646419
3,10,50,3,NA,0,13.335116339296738,62.253442989548745,2.5116402759172836,5.8297632853703005,0.8993568928832408,0.5701976699124904
4,10,50,3,NA,0,16.48181337365133,63.397953817594065,2.6429345937949913,5.960764420587683,0.8911467234935332,0.5598685249313179
1,20,50,3,NA,0,16.042183952675593,60.33218805800964,2.536609498630696,5.887488645504469,0.8856570297825948,0.5901617565873598
2,20,50,3,NA,0,13.601404928758047,60.47761309368239,2.4898075760967378,5.774938995827326,0.8994283544008442,0.5840515117132601
3,20,50,3,NA,0,12.528691584954863,59.23227243810485,2.2983558950428398,5.540147568603988,0.9167356339708639,0.5860826191639134
4,20,50,3,NA,0,12.908794637155884,57.81734236606241,2.3272504234938998,5.550596206538388,0.9105549369678408,0.5930879237196182
1,50,50,3,NA,0,12.838896377911125,60.3735042465452,2.3313323494499363,5.837929859270658,0.9074568240828832,0.6050387411928216
2,50,50,3,NA,0,9.446046172800424,55.86976084608522,2.067151278092659,5.545147647951448,0.9311922539839915,0.6002784321138466
3,50,50,3,NA,0,10.878401331125634,54.692171686326866,2.08469584955416,5.464225231514277,0.9232670081878364,0.6154244688164888
4,50,50,3,NA,0,11.039566537037617,58.416935569434045,2.2564136164619093,5.507636073003796,0.9301251442017483,0.604754263931613
1,100,50,3,NA,0,12.020785529015802,52.11702619293182,2.2807661170842883,5.467394239750051,0.9136086800910134,0.630080601208326
2,100,50,3,NA,0,11.47229679559337,60.225255278902374,2.3776847902886065,5.571967889652854,0.9195611453393985,0.5738429489518431
3,100,50,3,NA,0,12.247388709993519,56.45448427560327,2.3205863500942923,5.581457431955348,0.9389993241327643,0.6084262943657199
4,100,50,3,NA,0,14.720637980375148,50.88494696045392,2.644324208847962,5.252621362622449,0.9272352112182733,0.6322942224942855
1,200,50,3,NA,0,9.974327305815208,60.49145759021368,2.0993697615250784,5.768977381161844,0.9255164627326355,0.5799173145076206
2,200,50,3,NA,0,9.785116284078688,55.56741221054473,2.0827231412291787,5.512781684428041,0.9370209650062461,0.5991393222078294
3,200,50,3,NA,0,12.14957299877557,54.247145903360185,2.3156347040417264,5.504019168431697,0.9307973032492965,0.6168670876882241
4,200,50,3,NA,0,9.879528265142076,52.76422871687221,2.1560911223291033,5.267263398419765,0.9280722092568972,0.6235225391406545
1,5,25,5,NA,0,32.638215845045586,51.96054159797181,3.9082131609134154,5.32037888336617,0.760722193919715,0.6292322787904069
2,5,25,5,NA,0,31.063091930927143,51.69305146991229,3.718556508421436,5.222480230408205,0.7681302117679695,0.6393605351326471
3,5,25,5,NA,0,33.97491150460202,53.24612218814233,3.864599370540729,5.22060485086977,0.7762283978920969,0.6286243991934866
4,5,25,5,NA,0,383.4959674040393,60.694200260516475,16.034776764032117,5.732523887250058,0.007322187718329642,0.581726533402498
1,10,25,5,NA,0,25.11222584331312,53.14875982298751,3.3455701825364237,5.353808249092989,0.8133722240715605,0.6209194957123626
2,10,25,5,NA,0,25.347949529804403,51.49761731241317,3.2935225715361147,5.276613838453336,0.8379061483274273,0.6342018166025427
3,10,25,5,NA,0,23.411119068422057,55.36865010323588,3.184609193723298,5.565562329367848,0.8263558424064636,0.6190963329472268
4,10,25,5,NA,0,20.10529489939047,55.90021883428986,3.1489974063401887,5.376378859400207,0.8518116845338461,0.6122684098343234
1,20,25,5,NA,0,23.012287626535848,52.58934139924672,3.1504251388929467,5.3254841282780285,0.8444693489589538,0.6384105771949782
2,20,25,5,NA,0,21.043817429584383,56.46739033843882,2.9926545064810424,5.481497661309245,0.8662706253847599,0.6049078222624308
