eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.01,1,1,0.65,0.8,636,6.5404734,0.6812135455144871
0.05,1,1,0.65,0.8,148,6.476135,0.6802136207647814
0.1,1,1,0.65,0.8,91,6.4936724,0.6763738741142595
0.3,1,1,0.65,0.8,34,6.5208882,0.6726100604596797
0.01,3,1,0.65,0.8,467,6.129411999999999,0.7106599795218381
0.05,3,1,0.65,0.8,83,6.1603798,0.7104321573145188
0.1,3,1,0.65,0.8,49,6.030429,0.7198819910590232
0.3,3,1,0.65,0.8,19,6.3744624,0.6892974631678845
0.01,5,1,0.65,0.8,517,6.0610424,0.7176886128827591
0.05,5,1,0.65,0.8,113,6.1216,0.7124872460144568
0.1,5,1,0.65,0.8,56,6.1582752,0.7093414858784001
0.3,5,1,0.65,0.8,22,6.2350024,0.7042340093874235
0.01,10,1,0.65,0.8,659,6.169984,0.7104549375910605
0.05,10,1,0.65,0.8,135,6.1731752,0.711344098713107
0.1,10,1,0.65,0.8,86,6.1600042,0.7125890624476683
0.3,10,1,0.65,0.8,29,6.3906144000000005,0.6926422418779169
0.01,1,3,0.65,0.8,636,6.5404734,0.6812135455144871
0.05,1,3,0.65,0.8,148,6.476135,0.6802136207647814
0.1,1,3,0.65,0.8,91,6.4936723999999995,0.6763738741142595
0.3,1,3,0.65,0.8,34,6.5208882,0.6726100604596797
0.01,3,3,0.65,0.8,482,6.112829,0.7119447105699189
0.05,3,3,0.65,0.8,91,6.1395498,0.711330066660382
0.1,3,3,0.65,0.8,47,6.0498588,0.7173849744071892
0.3,3,3,0.65,0.8,10,6.3999792,0.6908939330235042
0.01,5,3,0.65,0.8,491,6.0450454,0.718897982328389
0.05,5,3,0.65,0.8,120,6.0844448,0.7154593624209717
0.1,5,3,0.65,0.8,45,6.1324664,0.7131036477955338
0.3,5,3,0.65,0.8,17,6.2043296,0.7046848414907758
0.01,10,3,0.65,0.8,636,6.066071,0.7178970203023258
0.05,10,3,0.65,0.8,101,6.1099278,0.7154462991345718
0.1,10,3,0.65,0.8,91,6.051222,0.7177168469708987
0.3,10,3,0.65,0.8,20,6.4508852,0.6856535772930025
0.01,1,5,0.65,0.8,776,6.4133332,0.6870367103712653
0.05,1,5,0.65,0.8,148,6.476135,0.6802136207647814
0.1,1,5,0.65,0.8,91,6.4936723999999995,0.6763738741142595
0.3,1,5,0.65,0.8,34,6.5208882,0.6726100604596797
0.01,3,5,0.65,0.8,482,6.1006582,0.7132669233435721
0.05,3,5,0.65,0.8,97,6.115985,0.713756065197547
0.1,3,5,0.65,0.8,48,5.9483808,0.7276716539007144
0.3,3,5,0.65,0.8,10,6.3533586,0.694242371127658
0.01,5,5,0.65,0.8,468,6.0100764,0.72246416571047
0.05,5,5,0.65,0.8,99,6.0671708,0.7177806647854488
0.1,5,5,0.65,0.8,58,6.2338036,0.7030497633559923
0.3,5,5,0.65,0.8,22,6.181465,0.7088086785122054
0.01,10,5,0.65,0.8,517,6.0388676,0.7207818687675632
0.05,10,5,0.65,0.8,135,6.0179648,0.7229750382488005
0.1,10,5,0.65,0.8,59,6.0834226000000005,0.7182752085822945
0.3,10,5,0.65,0.8,18,6.2227284,0.7068853165386612
0.01,1,7,0.65,0.8,776,6.4129502,0.6870993927040756
0.05,1,7,0.65,0.8,148,6.4764116000000005,0.6801604635281677
0.1,1,7,0.65,0.8,91,6.4936723999999995,0.6763738741142595
0.3,1,7,0.65,0.8,34,6.5208882,0.6726100604596797
0.01,3,7,0.65,0.8,482,6.0996322,0.7133100055855267
0.05,3,7,0.65,0.8,91,6.0992626,0.7153035438305144
0.1,3,7,0.65,0.8,56,6.0085094,0.7230835323646109
0.3,3,7,0.65,0.8,14,6.2530428,0.7010111030428481
0.01,5,7,0.65,0.8,497,5.9700988,0.7257746641632441
0.05,5,7,0.65,0.8,99,5.9657632,0.7264668570046683
0.1,5,7,0.65,0.8,60,6.1493702,0.7111389812870339
0.3,5,7,0.65,0.8,22,6.3111286,0.6953173069531344
0.01,10,7,0.65,0.8,517,6.0062964,0.72342877855768
0.05,10,7,0.65,0.8,98,6.0814607999999994,0.7174352327247363
0.1,10,7,0.65,0.8,59,6.0565844,0.7211293129402128
0.3,10,7,0.65,0.8,21,6.067135,0.717616163386658
0.01,1,1,0.8,0.8,877,6.4153546,0.6847193430256037
0.05,1,1,0.8,0.8,179,6.4465132,0.6812438975975831
0.1,1,1,0.8,0.8,77,6.488045,0.6795350992093346
0.3,1,1,0.8,0.8,31,6.6268434,0.6598450273164909
0.01,3,1,0.8,0.8,463,6.1253594,0.7117117741810135
0.05,3,1,0.8,0.8,86,6.2076424,0.7045051553786319
0.1,3,1,0.8,0.8,46,6.0368478,0.7202638995495056
0.3,3,1,0.8,0.8,17,6.489069,0.6807796665630188
0.01,5,1,0.8,0.8,469,6.1194322,0.7130124774790916
0.05,5,1,0.8,0.8,113,6.1701746,0.7081842600765632
0.1,5,1,0.8,0.8,72,6.2675002,0.7008082618365354
0.3,5,1,0.8,0.8,26,6.392964,0.69182262101885
0.01,10,1,0.8,0.8,900,6.1337334,0.7145889517197594
0.05,10,1,0.8,0.8,225,6.3215426,0.6985469057165414
0.1,10,1,0.8,0.8,70,6.315054,0.7009452380568452
0.3,10,1,0.8,0.8,19,6.704664,0.6664674974075303
0.01,1,3,0.8,0.8,877,6.4153546,0.6847193430256037
0.05,1,3,0.8,0.8,179,6.4465134,0.6812438975975831
0.1,1,3,0.8,0.8,77,6.488045,0.6795350992093346
0.3,1,3,0.8,0.8,31,6.6268436,0.6598450273164909
0.01,3,3,0.8,0.8,462,6.1204773999999995,0.7122273479486161
0.05,3,3,0.8,0.8,112,6.0843998,0.7153219932621188
0.1,3,3,0.8,0.8,45,6.0624168,0.7188237273774599
0.3,3,3,0.8,0.8,29,6.3084078,0.7023449960343492
0.01,5,3,0.8,0.8,543,6.0714122,0.7163928056241801
0.05,5,3,0.8,0.8,99,6.1383350000000005,0.7105087330533573
0.1,5,3,0.8,0.8,51,6.276159,0.6980946248387246
0.3,5,3,0.8,0.8,12,6.51181,0.6800796380832121
0.01,10,3,0.8,0.8,522,6.0861600000000005,0.7182246098395461
0.05,10,3,0.8,0.8,141,6.1969004,0.7080626475029775
0.1,10,3,0.8,0.8,96,6.2422664,0.7051663627007312
0.3,10,3,0.8,0.8,22,6.401201,0.6911466663130851
0.01,1,5,0.8,0.8,877,6.4156524,0.6847014869625699
0.05,1,5,0.8,0.8,179,6.4465134,0.6812438975975831
0.1,1,5,0.8,0.8,77,6.488045,0.6795350992093346
0.3,1,5,0.8,0.8,31,6.6268436,0.6598450273164909
0.01,3,5,0.8,0.8,462,6.1210052,0.7125520280857244
0.05,3,5,0.8,0.8,86,6.1744254,0.7081449631861554
0.1,3,5,0.8,0.8,69,6.0245898,0.7216461723987089
0.3,3,5,0.8,0.8,11,6.4213496,0.6867464289492505
0.01,5,5,0.8,0.8,468,6.0733536,0.7170066519082512
0.05,5,5,0.8,0.8,159,6.0618392,0.7184533553646348
0.1,5,5,0.8,0.8,47,6.265397800000001,0.6991560251934574
0.3,5,5,0.8,0.8,13,6.3774614,0.6959649587655354
0.01,10,5,0.8,0.8,534,6.0470912,0.7214253423052646
0.05,10,5,0.8,0.8,211,6.1324836,0.713695923825701
0.1,10,5,0.8,0.8,63,6.1749294,0.7106388106980431
0.3,10,5,0.8,0.8,14,6.274144,0.7044874780526813
0.01,1,7,0.8,0.8,877,6.4130832,0.6850145959990191
0.05,1,7,0.8,0.8,179,6.4419580000000005,0.6817792026314663
0.1,1,7,0.8,0.8,77,6.488045,0.6795350992093346
0.3,1,7,0.8,0.8,31,6.6268436,0.6598450273164909
0.01,3,7,0.8,0.8,499,6.1044073999999995,0.7136704131774506
0.05,3,7,0.8,0.8,111,6.0942672,0.7143362215066639
0.1,3,7,0.8,0.8,51,6.1200258,0.7116509875727062
0.3,3,7,0.8,0.8,23,6.1429102,0.7148060997070255
0.01,5,7,0.8,0.8,471,6.0366116,0.7206923618464305
0.05,5,7,0.8,0.8,162,5.971015,0.7265570745548159
0.1,5,7,0.8,0.8,52,6.0638886,0.7182891749601218
0.3,5,7,0.8,0.8,21,6.2210732,0.704857431125108
0.01,10,7,0.8,0.8,517,6.017628,0.7243315075661821
0.05,10,7,0.8,0.8,120,6.1020762,0.716829346323029
0.1,10,7,0.8,0.8,47,6.2474638,0.7058254425391248
0.3,10,7,0.8,0.8,14,6.459543999999999,0.6872737379727567
0.01,1,1,1,0.8,993,6.4164348,0.68421114432065
0.05,1,1,1,0.8,203,6.4028362,0.6855068539848828
0.1,1,1,1,0.8,103,6.4294474,0.6826627344064684
0.3,1,1,1,0.8,23,6.5121688,0.6759230251453608
0.01,3,1,1,0.8,413,6.2091520000000004,0.7051114929866208
0.05,3,1,1,0.8,112,6.1432912,0.7104369071327743
0.1,3,1,1,0.8,66,6.2297138,0.703238204888677
0.3,3,1,1,0.8,13,6.621488,0.6653716546766443
0.01,5,1,1,0.8,548,6.2113102,0.7044766290699115
0.05,5,1,1,0.8,92,6.1168446,0.7132614351178402
0.1,5,1,1,0.8,51,6.2035152,0.7051674309709071
0.3,5,1,1,0.8,13,6.494496,0.6815202703631278
0.01,10,1,1,0.8,735,6.3119884,0.7005714487846193
0.05,10,1,1,0.8,213,6.2758166,0.7035964750927033
0.1,10,1,1,0.8,133,6.3332998,0.6969604141610846
0.3,10,1,1,0.8,28,6.6832062,0.665784347146003
0.01,1,3,1,0.8,993,6.4164348,0.68421114432065
0.05,1,3,1,0.8,203,6.4028362,0.6855068539848828
0.1,1,3,1,0.8,103,6.4294474,0.6826627344064684
0.3,1,3,1,0.8,23,6.5121688,0.6759230251453608
0.01,3,3,1,0.8,441,6.1982175999999995,0.7055372290039883
0.05,3,3,1,0.8,93,6.1419436,0.7108369694387737
0.1,3,3,1,0.8,47,6.19618,0.7056460079488479
0.3,3,3,1,0.8,16,6.6584638,0.660812832660062
0.01,5,3,1,0.8,462,6.1943344,0.7058078257381947
0.05,5,3,1,0.8,103,6.171798,0.7077688934240726
0.1,5,3,1,0.8,49,6.245794,0.7004738053419788
0.3,5,3,1,0.8,24,6.4021522,0.6930230404413945
0.01,10,3,1,0.8,690,6.2219894,0.7072751625632437
0.05,10,3,1,0.8,168,6.2066516,0.7088751234323056
0.1,10,3,1,0.8,138,6.3354776,0.6959804323043769
0.3,10,3,1,0.8,75,6.5402274,0.6800605439268984
0.01,1,5,1,0.8,993,6.4164348,0.68421114432065
0.05,1,5,1,0.8,203,6.4028362,0.6855068539848828
0.1,1,5,1,0.8,103,6.4294474,0.6826627344064684
0.3,1,5,1,0.8,23,6.5121688,0.6759230251453608
0.01,3,5,1,0.8,466,6.1423314,0.7108027256770372
0.05,3,5,1,0.8,88,6.1625124,0.7091322455794221
0.1,3,5,1,0.8,47,6.2096906,0.7031629196242738
0.3,3,5,1,0.8,65,6.6771884,0.6635659536227282
0.01,5,5,1,0.8,441,6.1894618,0.7068635828443833
0.05,5,5,1,0.8,122,6.1556708,0.7099480735312041
0.1,5,5,1,0.8,43,6.2408238,0.7015582626303564
0.3,5,5,1,0.8,9,6.5460704000000005,0.6800267420876276
0.01,10,5,1,0.8,699,6.1411326,0.7137489271397387
0.05,10,5,1,0.8,182,6.1223773999999995,0.7162856294139532
0.1,10,5,1,0.8,125,6.1838662,0.7095510012308361
0.3,10,5,1,0.8,42,6.4544654,0.6886129709894291
0.01,1,7,1,0.8,993,6.4164348,0.68421114432065
0.05,1,7,1,0.8,203,6.4028362,0.6855068539848828
0.1,1,7,1,0.8,103,6.4294476000000005,0.6826627344064684
0.3,1,7,1,0.8,23,6.5121688,0.6759230251453608
0.01,3,7,1,0.8,461,6.153704,0.7097951397723619
0.05,3,7,1,0.8,92,6.1800698,0.7073371612794104
0.1,3,7,1,0.8,51,6.189495,0.7064044421891056
0.3,3,7,1,0.8,13,6.76412,0.6497160159966479
