type,name,value,min,max,model,product
CV,R2,0.7177654353460936,0.60487043805747,0.8716986717311586,GBM,OMI
CV,RMSE,6.11851877431949,4.84091450601529,7.9507428957757496,GBM,OMI
spatialCV,R2,0.7314911680690387,0.6973946111052404,0.7684479602510127,GBM,OMI
spatialCV,RMSE,5.954990902722541,5.271663480128239,6.889676202398507,GBM,OMI
temporalCV,R2,0.8698626918836838,0.8246235059213239,0.9642180139088687,GBM,OMI
temporalCV,RMSE,4.335373731428868,1.7016873236965342,10.751231132748304,GBM,OMI
training,R2,0.9741726084120338,NA,NA,GBM,OMI
training,RMSE,1.9647823648925065,NA,NA,GBM,OMI
CV,intercept,0.8443832353451088,0.0522989172243864,1.6364675534658313,GBM,OMI
CV,slope,0.9826161516586095,0.9470034534599281,1.018228849857291,GBM,OMI
spatialCV,intercept,0.15283371951851593,-0.6356362195740406,0.9413036586110726,GBM,OMI
spatialCV,slope,1.0084200823044513,0.9731079956714537,1.043732168937449,GBM,OMI
temporalCV,intercept,-1.1236639050517063,-1.6613956238194687,-0.5859321862839438,GBM,OMI
temporalCV,slope,1.1003943421652755,1.0757945715634913,1.1249941127670597,GBM,OMI
training,intercept,-0.9093764500385135,-1.1366308045887212,-0.6821220954883057,GBM,OMI
training,slope,1.05831038940067,1.0483507749329133,1.0682700038684267,GBM,OMI
