type,name,value,min,max,model,product
CV,R2,0.7107143986293704,0.6128530892978624,0.8680404482182061,GBM,TROPOMI
CV,RMSE,6.183301146255566,4.671454067374683,7.7763482195485265,GBM,TROPOMI
spatialCV,R2,0.7162023456455611,0.7009077850027076,0.7523911156219,GBM,TROPOMI
spatialCV,RMSE,6.122968748779131,5.545101045514284,7.123884121176155,GBM,TROPOMI
temporalCV,R2,0.8816090258976639,0.8362986755189196,0.965686838762276,GBM,TROPOMI
temporalCV,RMSE,4.113352905948391,1.6585431152186794,9.888152281583864,GBM,TROPOMI
training,R2,0.9760379086648038,NA,NA,GBM,TROPOMI
training,RMSE,1.8949174684278707,NA,NA,GBM,TROPOMI
CV,intercept,0.593376103038879,-0.22003412330921446,1.4067863293869725,GBM,TROPOMI
CV,slope,0.9886624802553471,0.9522063089629246,1.0251186515477697,GBM,TROPOMI
spatialCV,intercept,5.401133375543485e-4,-0.8220455103470157,0.8231257370221243,GBM,TROPOMI
spatialCV,slope,1.0159507913682515,0.9789878642976129,1.0529137184388901,GBM,TROPOMI
temporalCV,intercept,-1.1489229560088623,-1.6595434301971281,-0.6383024818205965,GBM,TROPOMI
temporalCV,slope,1.0935138732233978,1.0703531172149598,1.1166746292318357,GBM,TROPOMI
training,intercept,-0.8830532279318414,-1.1015737631215332,-0.6645326927421495,GBM,TROPOMI
training,slope,1.0566259749423708,1.0470571755314113,1.0661947743533302,GBM,TROPOMI
