type,name,value,min,max,model,product
CV,R2,0.7829896645443073,0.732905402114925,0.8861091704748553,LGB,OMI
CV,RMSE,5.360990708716165,3.7790908929957245,7.42595121540242,LGB,OMI
spatialCV,R2,0.7284975009184438,0.6893021273617823,0.7737505818025979,LGB,OMI
spatialCV,RMSE,5.98269589256084,5.458313883128738,6.6185062740279035,LGB,OMI
temporalCV,R2,0.8720610499701387,0.8792507901156864,0.9780751191459501,LGB,OMI
temporalCV,RMSE,4.109567237309291,1.5160886408382042,9.050664914986656,LGB,OMI
training,R2,0.994387150255133,NA,NA,LGB,OMI
training,RMSE,0.8900167989708625,NA,NA,LGB,OMI
CV,intercept,-0.6337805578880383,-1.3476103850682246,0.08004926929214795,LGB,OMI
CV,slope,1.0357444263187832,1.0041603538582566,1.0673284987793097,LGB,OMI
spatialCV,intercept,0.003034117465805924,-0.798918789370614,0.8049870243022259,LGB,OMI
spatialCV,slope,0.9988857485109015,0.9635640135427839,1.0342074834790191,LGB,OMI
temporalCV,intercept,-0.31026370011043547,-0.8287611181860942,0.20823371796522328,LGB,OMI
temporalCV,slope,1.0139514970132557,0.9914558517389567,1.0364471422875547,LGB,OMI
training,intercept,-0.33110442940607143,-0.4343770973465644,-0.2278317614655785,LGB,OMI
training,slope,1.0194746965332968,1.0150381633374699,1.0239112297291237,LGB,OMI
