type,name,value,min,max,model,product
CV,R2,0.7871941238404447,0.7621817932913815,0.8757942979977182,LGB,TROPOMI
CV,RMSE,5.309976745128786,3.844785196687639,7.159565470322349,LGB,TROPOMI
spatialCV,R2,0.7275837772963646,0.71345053605007,0.7674078682896357,LGB,TROPOMI
spatialCV,RMSE,5.994108635780132,5.135314484953809,6.809500288654541,LGB,TROPOMI
temporalCV,R2,0.9005575036082121,0.8762000113392643,0.9769172826676833,LGB,TROPOMI
temporalCV,RMSE,3.6423994223458145,1.6096699491178459,7.808525161564632,LGB,TROPOMI
training,R2,0.9944665566822423,NA,NA,LGB,TROPOMI
training,RMSE,0.883453740597476,NA,NA,LGB,TROPOMI
CV,intercept,-0.6383939972342865,-1.3438662588175432,0.06707826434897024,LGB,TROPOMI
CV,slope,1.0366901525787044,1.0054686940586026,1.0679116110988063,LGB,TROPOMI
spatialCV,intercept,0.21030944345692845,-0.5867823022441687,1.0074011891580257,LGB,TROPOMI
spatialCV,slope,0.9956650797093964,0.9603758983663062,1.0309542610524867,LGB,TROPOMI
temporalCV,intercept,-0.6330383687626195,-1.0899237897143503,-0.1761529478108888,LGB,TROPOMI
temporalCV,slope,1.0363629000798222,1.0164150787254342,1.0563107214342102,LGB,TROPOMI
training,intercept,-0.3261031662332069,-0.4286206516634335,-0.2235856808029803,LGB,TROPOMI
training,slope,1.0192294085890847,1.0148256052574556,1.0236332119207139,LGB,TROPOMI
