type,name,value,min,max,model,product
CV,R2,0.6469590677193559,0.6086156842212004,0.735747411864238,NN,OMI
CV,RMSE,7.025749563627994,5.878829738587897,8.96858219770576,NN,OMI
spatialCV,R2,0.6698288172591256,0.5519445602872396,0.8326443070997327,NN,OMI
spatialCV,RMSE,6.771509257886925,4.763176205822198,9.280199635156446,NN,OMI
temporalCV,R2,0.6930580539067468,0.6489077796900756,0.8323073397740608,NN,OMI
temporalCV,RMSE,6.680125318580818,3.5844318615166664,13.66643507379884,NN,OMI
training,R2,0.7958012876145527,NA,NA,NN,OMI
training,RMSE,5.616895742367534,NA,NA,NN,OMI
CV,intercept,2.933897407043152,2.086415234524485,3.7813795795618192,NN,OMI
CV,slope,0.9243232472688019,0.8847728060797454,0.9638736884578584,NN,OMI
spatialCV,intercept,2.6908059356244673,1.8735311592132988,3.508080712035636,NN,OMI
spatialCV,slope,0.9298545850596206,0.8920402878098428,0.9676688823093984,NN,OMI
temporalCV,intercept,2.0747803918056635,1.276175958273793,2.873384825337534,NN,OMI
temporalCV,slope,0.9980850404982454,0.959611319775945,1.0365587612205458,NN,OMI
training,intercept,0.008089833213552517,-0.662919155842652,0.679098822269757,NN,OMI
training,slope,1.1034763370640157,1.0710990442115176,1.1358536299165138,NN,OMI
