type,name,value,min,max,model,product
CV,R2,0.665417269385308,0.5666972113650636,0.764756258010825,NN,TROPOMI
CV,RMSE,6.744708331014007,5.357204839552071,9.354244634131339,NN,TROPOMI
spatialCV,R2,0.6796083673863471,0.5786950384181215,0.8166038950389015,NN,TROPOMI
spatialCV,RMSE,6.632051189664214,4.919509245014645,8.043468409341319,NN,TROPOMI
temporalCV,R2,0.726969746506065,0.5988507613833802,0.7965004888306378,NN,TROPOMI
temporalCV,RMSE,6.174369485543857,3.956640276806542,10.630735623658929,NN,TROPOMI
training,R2,0.783747836422727,NA,NA,NN,TROPOMI
training,RMSE,5.7366758309672905,NA,NA,NN,TROPOMI
CV,intercept,2.3000826696768035,1.4610084580396538,3.139156881313953,NN,TROPOMI
CV,slope,0.9306014294707191,0.8923786935394673,0.9688241654019709,NN,TROPOMI
spatialCV,intercept,2.7599801661384884,1.961865854696308,3.558094477580669,NN,TROPOMI
spatialCV,slope,0.9009965091235485,0.8651631385866607,0.9368298796604362,NN,TROPOMI
temporalCV,intercept,1.6937374453025356,0.9425316986583983,2.444943191946673,NN,TROPOMI
temporalCV,slope,0.9873743537131064,0.9523248084383621,1.0224238989878507,NN,TROPOMI
training,intercept,1.255383966177281,0.594389785004711,1.916378147349851,NN,TROPOMI
training,slope,1.0434407350445392,1.0116929692106498,1.0751885008784285,NN,TROPOMI
