type,name,value,min,max,model,product
CV,R2,0.7048077089052616,0.6283144096538879,0.8392466260511152,RF,OMI
CV,RMSE,6.257513234066036,4.9240862344023775,7.665257886890563,RF,OMI
spatialCV,R2,0.7051031074646753,0.6825730133015814,0.752061684555737,RF,OMI
spatialCV,RMSE,6.282733028170172,5.171129117262752,7.755979440275263,RF,OMI
temporalCV,R2,0.8283610526850474,0.8140935849637039,0.9689004315214851,RF,OMI
temporalCV,RMSE,4.849838057433928,1.9537740238686028,12.52943115328071,RF,OMI
training,R2,0.9048809209409416,NA,NA,RF,OMI
training,RMSE,3.694375162101355,NA,NA,RF,OMI
CV,intercept,-1.0584089971910462,-1.938843261603165,-0.1779747327789274,RF,OMI
CV,slope,1.0579159322601357,1.018345071987951,1.0974867925323204,RF,OMI
spatialCV,intercept,-1.9037767190774637,-2.812538776630674,-0.9950146615242534,RF,OMI
spatialCV,slope,1.090949329836882,1.0501718374981623,1.1317268221756016,RF,OMI
temporalCV,intercept,-1.8898185545377186,-2.5378524181734257,-1.2417846909020116,RF,OMI
temporalCV,slope,1.100128331732206,1.0711849957592237,1.1290716677051882,RF,OMI
training,intercept,-2.1463023661013154,-2.616010857741466,-1.6765938744611648,RF,OMI
training,slope,1.1075379242664893,1.086783826409428,1.1282920221235506,RF,OMI
