type,name,value,min,max,model,product
CV,R2,0.7064588685674833,0.6122713426648377,0.8473793017141087,RF,TROPOMI
CV,RMSE,6.244000132744846,4.780199667799343,7.800042855483727,RF,TROPOMI
spatialCV,R2,0.7064098403289618,0.6855126234190867,0.7502726316709484,RF,TROPOMI
spatialCV,RMSE,6.272986885680636,5.128848728910553,7.712742878611027,RF,TROPOMI
temporalCV,R2,0.8480131888402401,0.8293503941041077,0.969533346808445,RF,TROPOMI
temporalCV,RMSE,4.611453269169918,1.866006863830401,12.010372183498731,RF,TROPOMI
training,R2,0.9099809869559993,NA,NA,RF,TROPOMI
training,RMSE,3.6089476207992828,NA,NA,RF,TROPOMI
CV,intercept,-1.197677180815197,-2.079526880612105,-0.31582748101828895,RF,TROPOMI
CV,slope,1.0635068137195376,1.023884624369461,1.1031290030696141,RF,TROPOMI
spatialCV,intercept,-2.017733582424179,-2.927672183286299,-1.107794981562059,RF,TROPOMI
spatialCV,slope,1.0941964140087388,1.0534260287141481,1.1349667993033294,RF,TROPOMI
temporalCV,intercept,-2.1879328213683906,-2.7985169935975622,-1.577348649139219,RF,TROPOMI
temporalCV,slope,1.1169129565525164,1.0895836804466923,1.1442422326583406,RF,TROPOMI
training,intercept,-2.1453334313967733,-2.60122138803634,-1.6894454747572065,RF,TROPOMI
training,slope,1.109460381577707,1.0892920527323802,1.129628710423034,RF,TROPOMI
