type,name,value,min,max,model,product
CV,R2,0.7389729680288066,0.6927679808485151,0.8199326534532366,SLMER,OMI
CV,RMSE,5.87605252020484,4.707048594436822,7.655024808839724,SLMER,OMI
spatialCV,R2,0.7339516837653942,0.6724172872757006,0.8305906694851419,SLMER,OMI
spatialCV,RMSE,5.933001894347641,4.690103436497345,7.345294974531802,SLMER,OMI
temporalCV,R2,0.4767786402654064,0.6204057487862416,0.7603608133340515,SLMER,OMI
temporalCV,RMSE,8.326021788772087,4.682032604063932,14.389854653191685,SLMER,OMI
training,R2,0.7649801029497701,NA,NA,SLMER,OMI
training,RMSE,5.566281715636508,NA,NA,SLMER,OMI
CV,intercept,0.7528357165818973,-0.0057841986836864034,1.511455631847481,SLMER,OMI
CV,slope,0.9679744048787782,0.9346512840006778,1.0012975257568786,SLMER,OMI
spatialCV,intercept,0.6704136939006067,-0.10013230459936584,1.4409596924005792,SLMER,OMI
spatialCV,slope,0.9820192762929749,0.9477724869359961,1.0162660656499536,SLMER,OMI
temporalCV,intercept,1.425138078075043,0.17420791813917025,2.6760682380109158,SLMER,OMI
temporalCV,slope,0.9493052930651453,0.8917024966269053,1.0069080895033855,SLMER,OMI
training,intercept,-0.05954028962372319,-0.7928609835515065,0.6737804043040602,SLMER,OMI
training,slope,1.00291074712713,0.9707117118865491,1.0351097823677107,SLMER,OMI
