type,name,value,min,max,model,product
CV,R2,0.7313533938305276,0.6907709119319383,0.7924723772074541,SLMER,TROPOMI
CV,RMSE,5.956202744394121,4.981014703716655,7.73127951066813,SLMER,TROPOMI
spatialCV,R2,0.722249387075874,0.678665022098912,0.7783577745482236,SLMER,TROPOMI
spatialCV,RMSE,6.059100221336766,5.325417998674775,7.195765593249272,SLMER,TROPOMI
temporalCV,R2,0.6896719787414489,0.6045493507253519,0.7500534811985212,SLMER,TROPOMI
temporalCV,RMSE,6.4354119442762965,4.2897770565015145,9.878671669045238,SLMER,TROPOMI
training,R2,0.7572430362752137,NA,NA,SLMER,TROPOMI
training,RMSE,5.657154722292654,NA,NA,SLMER,TROPOMI
CV,intercept,0.35573674639263303,-0.4295755776766634,1.1410490704619294,SLMER,TROPOMI
CV,slope,0.9777003370791526,0.9433772666372142,1.012023407521091,SLMER,TROPOMI
spatialCV,intercept,0.7027157582741569,-0.0886515114415739,1.4940830279898876,SLMER,TROPOMI
spatialCV,slope,0.9721697875058185,0.9372493746001517,1.0070902004114852,SLMER,TROPOMI
temporalCV,intercept,-1.1600767857289382,-2.0780206063445332,-0.24213296511334326,SLMER,TROPOMI
temporalCV,slope,1.0724040179679062,1.0307361800542432,1.1140718558815692,SLMER,TROPOMI
training,intercept,-0.057352479717798846,-0.8056469007476522,0.6909419413120544,SLMER,TROPOMI
training,slope,1.002803791627944,0.9699157889027756,1.0356917943531123,SLMER,TROPOMI
