type,name,value,min,max,model,product
CV,R2,0.7188613753018118,0.6579276172635008,0.7867289268661188,SLR,OMI
CV,RMSE,6.097584481950334,5.100262985049075,7.662297260913325,SLR,OMI
spatialCV,R2,0.716248118028361,0.6396223302537792,0.8131653897395685,SLR,OMI
spatialCV,RMSE,6.119483234034684,4.90687789564515,7.323462441982955,SLR,OMI
temporalCV,R2,0.692081125416795,0.6295716452159341,0.7629906637306306,SLR,OMI
temporalCV,RMSE,6.377279721058477,4.444280650487055,11.140906158655065,SLR,OMI
training,R2,0.7383928061376648,NA,NA,SLR,OMI
training,RMSE,5.872618033833821,NA,NA,SLR,OMI
CV,intercept,0.7388580453853659,-0.05765377409739203,1.535369864868124,SLR,OMI
CV,slope,0.9662639191154248,0.9312624096261602,1.0012654286046891,SLR,OMI
spatialCV,intercept,0.4090370019449152,-0.40314414662102216,1.2212181505108526,SLR,OMI
spatialCV,slope,0.9879461553502521,0.9519277706842117,1.0239645400162924,SLR,OMI
temporalCV,intercept,0.5821055724467132,-0.26980185441930804,1.4340129993127344,SLR,OMI
temporalCV,slope,0.9817560373643096,0.9438248391893449,1.0196872355392743,SLR,OMI
training,intercept,-3.3568232729379166e-15,-0.7829957567959938,0.7829957567959871,SLR,OMI
training,slope,0.9999999999999981,0.9655226052981555,1.0344773947018406,SLR,OMI
