type,name,value,min,max,model,product
CV,R2,0.7308015764514127,0.5941047315778758,0.867439944749824,SLR,TROPOMI
CV,RMSE,5.959369819263654,4.242954485225347,7.909294291230789,SLR,TROPOMI
spatialCV,R2,0.7232018392673087,0.653477778677198,0.820689113607598,SLR,TROPOMI
spatialCV,RMSE,6.0377468589998005,4.854158480057986,7.384409806779002,SLR,TROPOMI
temporalCV,R2,0.7262775028321662,0.601383358497193,0.77040633337195,SLR,TROPOMI
temporalCV,RMSE,6.0088429715118306,4.128760056634531,9.690952741994428,SLR,TROPOMI
training,R2,0.7486412846680063,NA,NA,SLR,TROPOMI
training,RMSE,5.7526975102354605,NA,NA,SLR,TROPOMI
CV,intercept,0.309130848544299,-0.4757212202395707,1.0939829173281688,SLR,TROPOMI
CV,slope,0.9777557981389405,0.9434573816610196,1.0120542146168616,SLR,TROPOMI
spatialCV,intercept,0.15048302843354505,-0.6538486890193824,0.9548147458864724,SLR,TROPOMI
spatialCV,slope,0.9902758038851058,0.9548666819047333,1.0256849258654783,SLR,TROPOMI
temporalCV,intercept,0.10787040255839447,-0.691966079309476,0.9077068844262648,SLR,TROPOMI
temporalCV,slope,1.0071437500977216,0.9714080278405495,1.0428794723548938,SLR,TROPOMI
training,intercept,-2.0097183471152322e-14,-0.7603624613719552,0.760362461371915,SLR,TROPOMI
training,slope,0.999999999999999,0.9665098387454926,1.0334901612545053,SLR,TROPOMI
