type,name,value,min,max,model,product
CV,R2,0.7858722715666191,0.75396027585253,0.8784590787607374,XGB,OMI
CV,RMSE,5.3203995954171805,4.011936869178152,7.1175014400764995,XGB,OMI
spatialCV,R2,0.7086757218017933,0.693818626768064,0.7650463113516158,XGB,OMI
spatialCV,RMSE,6.213194955978781,5.782536338430636,7.02026244716952,XGB,OMI
temporalCV,R2,0.8820503752748526,0.8668811719703169,0.965521117163933,XGB,OMI
temporalCV,RMSE,3.9647651511839497,1.7959647295949532,8.720196682211446,XGB,OMI
training,R2,0.9916356098686304,NA,NA,XGB,OMI
training,RMSE,1.052589435069114,NA,NA,XGB,OMI
CV,intercept,0.15368045419013607,-0.5329719438778748,0.840332852258147,XGB,OMI
CV,slope,1.0059214010144215,0.9755070994304529,1.0363357025983901,XGB,OMI
spatialCV,intercept,0.4134491735241626,-0.4129027484096141,1.2398010954579393,XGB,OMI
spatialCV,slope,0.9661242750124311,0.930244403048204,1.0020041469766583,XGB,OMI
temporalCV,intercept,0.18845314007886027,-0.29780992207422946,0.67471620223195,XGB,OMI
temporalCV,slope,1.0104057207656605,0.9890039005406698,1.0318075409906513,XGB,OMI
training,intercept,-0.13162245633918712,-0.2568975313294726,-0.006347381348901671,XGB,OMI
training,slope,1.0063880821509628,1.0010343098477694,1.011741854454156,XGB,OMI
