model,product,training_R2,training_RMSE,training_slope,training_intercept,CV_R2,CV_RMSE,CV_slope,CV_intercept,spatialCV_R2,spatialCV_RMSE,spatialCV_slope,spatialCV_intercept,temporalCV_R2,temporalCV_RMSE,temporalCV_slope,temporalCV_intercept,MoransI,MoransI.p
SLR,OMI,0.738,5.873,1.000 (0.966~1.034),0.000 (-0.783~0.783),0.719 (0.658~0.787),6.098 (5.100~7.662),0.966 (0.931~1.001),0.739 (-0.058~1.535),0.716 (0.640~0.813),6.119 (4.907~7.323),0.988 (0.952~1.024),0.409 (-0.403~1.221),0.692 (0.630~0.763),6.377 (4.444~11.141),0.982 (0.944~1.020),0.582 (-0.270~1.434),-0.004,0.145
SLR,TROPOMI,0.752,5.716,1.000 (0.967~1.033),0.000 (-0.756~0.756),0.739 (0.695~0.803),5.870 (5.003~7.570),0.984 (0.950~1.018),0.321 (-0.451~1.094),0.727 (0.655~0.819),6.001 (4.889~7.369),0.990 (0.955~1.025),0.149 (-0.651~0.950),0.730 (0.605~0.770),5.968 (4.140~9.624),1.007 (0.971~1.042),0.110 (-0.685~0.905),-0.008,0.352
SLMER,OMI,0.765,5.566,1.003 (0.971~1.035),-0.060 (-0.793~0.674),0.739 (0.693~0.820),5.876 (4.707~7.655),0.968 (0.935~1.001),0.753 (-0.006~1.511),0.734 (0.672~0.831),5.933 (4.690~7.345),0.982 (0.948~1.016),0.670 (-0.100~1.441),0.477 (0.620~0.760),8.326 (4.682~14.390),0.949 (0.892~1.007),1.425 (0.174~2.676),-0.003,0.129
SLMER,TROPOMI,0.757,5.657,1.003 (0.970~1.036),-0.057 (-0.806~0.691),0.731 (0.691~0.792),5.956 (4.981~7.731),0.978 (0.943~1.012),0.356 (-0.430~1.141),0.722 (0.679~0.778),6.059 (5.325~7.196),0.972 (0.937~1.007),0.703 (-0.089~1.494),0.690 (0.605~0.750),6.435 (4.290~9.879),1.072 (1.031~1.114),-1.160 (-2.078~-0.242),-0.004,0.147
RF,OMI,0.909,3.617,1.108 (1.088~1.128),-2.156 (-2.615~-1.696),0.744 (0.706~0.843),5.897 (4.330~7.886),1.117 (1.079~1.155),-2.402 (-3.248~-1.556),0.712 (0.681~0.761),6.218 (5.151~7.730),1.098 (1.057~1.138),-2.100 (-3.003~-1.196),0.833 (0.850~0.967),4.793 (1.919~12.509),1.103 (1.075~1.132),-1.933 (-2.573~-1.292),-0.014,0.704
RF,TROPOMI,0.915,3.530,1.111 (1.091~1.131),-2.169 (-2.614~-1.724),0.745 (0.708~0.846),5.887 (4.281~7.840),1.111 (1.073~1.149),-2.353 (-3.196~-1.509),0.716 (0.690~0.755),6.181 (5.103~7.625),1.099 (1.059~1.139),-2.189 (-3.088~-1.291),0.853 (0.857~0.967),4.558 (1.850~11.899),1.121 (1.094~1.148),-2.282 (-2.886~-1.678),-0.013,0.657
XGB,OMI,0.992,1.053,1.006 (1.001~1.012),-0.132 (-0.257~-0.006),0.786 (0.754~0.878),5.320 (4.012~7.118),1.006 (0.976~1.036),0.154 (-0.533~0.840),0.709 (0.694~0.765),6.213 (5.783~7.020),0.966 (0.930~1.002),0.413 (-0.413~1.240),0.882 (0.867~0.966),3.965 (1.796~8.720),1.010 (0.989~1.032),0.188 (-0.298~0.675),-0.007,0.292
XGB,TROPOMI,0.993,0.987,1.007 (1.002~1.012),-0.149 (-0.266~-0.032),0.784 (0.752~0.868),5.339 (4.111~6.835),1.013 (0.983~1.044),-0.328 (-1.031~0.376),0.708 (0.713~0.763),6.212 (5.697~7.048),0.966 (0.930~1.002),0.552 (-0.270~1.374),0.901 (0.866~0.964),3.619 (1.822~7.061),1.011 (0.991~1.030),-0.117 (-0.564~0.331),-0.006,0.259
LGB,OMI,0.994,0.890,1.019 (1.015~1.024),-0.331 (-0.434~-0.228),0.783 (0.733~0.886),5.361 (3.779~7.426),1.036 (1.004~1.067),-0.634 (-1.348~0.080),0.728 (0.689~0.774),5.983 (5.458~6.619),0.999 (0.964~1.034),0.003 (-0.799~0.805),0.872 (0.879~0.978),4.110 (1.516~9.051),1.014 (0.991~1.036),-0.310 (-0.829~0.208),-0.015,0.739
LGB,TROPOMI,0.994,0.883,1.019 (1.015~1.024),-0.326 (-0.429~-0.224),0.787 (0.762~0.876),5.310 (3.845~7.160),1.037 (1.005~1.068),-0.638 (-1.344~0.067),0.728 (0.713~0.767),5.994 (5.135~6.810),0.996 (0.960~1.031),0.210 (-0.587~1.007),0.901 (0.876~0.977),3.642 (1.610~7.809),1.036 (1.016~1.056),-0.633 (-1.090~-0.176),-0.008,0.339
NN,OMI,0.654,6.938,0.957 (0.917~0.998),2.340 (1.482~3.197),0.607 (0.575~0.662),7.311 (6.507~8.965),0.918 (0.876~0.961),2.620 (1.691~3.549),0.569 (0.393~0.760),7.835 (5.611~10.007),0.822 (0.781~0.864),4.489 (3.574~5.405),0.588 (0.484~0.681),7.595 (4.935~15.969),0.900 (0.857~0.944),3.425 (2.494~4.355),-0.018,0.874
NN,TROPOMI,0.784,5.737,1.043 (1.012~1.075),1.255 (0.594~1.916),0.665 (0.567~0.765),6.745 (5.357~9.354),0.931 (0.892~0.969),2.300 (1.461~3.139),0.680 (0.579~0.817),6.632 (4.920~8.043),0.901 (0.865~0.937),2.760 (1.962~3.558),0.727 (0.599~0.797),6.174 (3.957~10.631),0.987 (0.952~1.022),1.694 (0.943~2.445),-0.01,0.485
