model,product,training_slope,training_intercept,CV_slope,CV_intercept,spatialCV_slope,spatialCV_intercept,temporalCV_slope,temporalCV_intercept
SLR,OMI,1.000 (0.966~1.034),0.000 (-0.783~0.783),0.966 (0.931~1.001),0.739 (-0.058~1.535),0.988 (0.952~1.024),0.409 (-0.403~1.221),0.982 (0.944~1.020),0.582 (-0.270~1.434)
SLR,TROPOMI,1.000 (0.967~1.033),0.000 (-0.756~0.756),0.984 (0.950~1.018),0.321 (-0.451~1.094),0.990 (0.955~1.025),0.149 (-0.651~0.950),1.007 (0.971~1.042),0.110 (-0.685~0.905)
SLMER,OMI,1.003 (0.971~1.035),-0.060 (-0.793~0.674),0.968 (0.935~1.001),0.753 (-0.006~1.511),0.982 (0.948~1.016),0.670 (-0.100~1.441),0.949 (0.892~1.007),1.425 (0.174~2.676)
SLMER,TROPOMI,1.003 (0.970~1.036),-0.057 (-0.806~0.691),0.978 (0.943~1.012),0.356 (-0.430~1.141),0.972 (0.937~1.007),0.703 (-0.089~1.494),1.072 (1.031~1.114),-1.160 (-2.078~-0.242)
RF,OMI,1.108 (1.088~1.128),-2.156 (-2.615~-1.696),1.117 (1.079~1.155),-2.402 (-3.248~-1.556),1.098 (1.057~1.138),-2.100 (-3.003~-1.196),1.103 (1.075~1.132),-1.933 (-2.573~-1.292)
RF,TROPOMI,1.111 (1.091~1.131),-2.169 (-2.614~-1.724),1.111 (1.073~1.149),-2.353 (-3.196~-1.509),1.099 (1.059~1.139),-2.189 (-3.088~-1.291),1.121 (1.094~1.148),-2.282 (-2.886~-1.678)
XGB,OMI,1.006 (1.001~1.012),-0.132 (-0.257~-0.006),1.006 (0.976~1.036),0.154 (-0.533~0.840),0.966 (0.930~1.002),0.413 (-0.413~1.240),1.010 (0.989~1.032),0.188 (-0.298~0.675)
XGB,TROPOMI,1.007 (1.002~1.012),-0.149 (-0.266~-0.032),1.013 (0.983~1.044),-0.328 (-1.031~0.376),0.966 (0.930~1.002),0.552 (-0.270~1.374),1.011 (0.991~1.030),-0.117 (-0.564~0.331)
LGB,OMI,1.019 (1.015~1.024),-0.331 (-0.434~-0.228),1.036 (1.004~1.067),-0.634 (-1.348~0.080),0.999 (0.964~1.034),0.003 (-0.799~0.805),1.014 (0.991~1.036),-0.310 (-0.829~0.208)
LGB,TROPOMI,1.019 (1.015~1.024),-0.326 (-0.429~-0.224),1.037 (1.005~1.068),-0.638 (-1.344~0.067),0.996 (0.960~1.031),0.210 (-0.587~1.007),1.036 (1.016~1.056),-0.633 (-1.090~-0.176)
NN,OMI,0.957 (0.917~0.998),2.340 (1.482~3.197),0.918 (0.876~0.961),2.620 (1.691~3.549),0.822 (0.781~0.864),4.489 (3.574~5.405),0.900 (0.857~0.944),3.425 (2.494~4.355)
NN,TROPOMI,1.043 (1.012~1.075),1.255 (0.594~1.916),0.931 (0.892~0.969),2.300 (1.461~3.139),0.901 (0.865~0.937),2.760 (1.962~3.558),0.987 (0.952~1.022),1.694 (0.943~2.445)
