month,Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,predicted_temporalCV,residual,residual_CV,residual_spatialCV,residual_temporalCV,model,product
1,Aarau-Buchenhof,30.5064516129032,traffic,2646140,1248741,29.809762954711914,4,27.9793643951416,5,29.56443214416504,31.177539825439453,0.6966886581912846,2.527087217761597,0.9420194687381596,-0.6710882125362545,GBM,TROPOMI
1,Aigle,29.9433333333333,industry,2561330,1129900,28.010066986083984,1,26.048839569091797,5,25.35897445678711,26.857500076293945,1.9332663472493152,3.8944937642415027,4.58435887654619,3.0858332570393543,GBM,TROPOMI
1,Airolo,17.8516129032258,traffic,2690021,1153641,22.009445190429688,4,33.9825553894043,4,38.42000198364258,27.06385612487793,-4.157832287203888,-16.130942486178498,-20.56838908041678,-9.21224322165213,GBM,TROPOMI
1,Altdorf,22.8483870967742,traffic,2690175,1193550,23.888654708862305,3,27.844356536865234,4,36.46046829223633,26.489015579223633,-1.0402676120881047,-4.995969440091034,-13.612081195462128,-3.640628482449433,GBM,TROPOMI
1,Avully-Passeiry,13.8806451612903,background,2489281,1113355,14.666854858398438,4,16.146066665649414,5,14.752233505249023,13.691179275512695,-0.7862096971081378,-2.2654215043591144,-0.8715883439587238,0.18946588577760437,GBM,TROPOMI
1,Baden-Schönaustrasse,25.38,background,2666075,1257972,25.183948516845703,3,24.265010833740234,3,22.355714797973633,25.31989860534668,0.19605148315429588,1.1149891662597646,3.024285202026366,0.06010139465331932,GBM,TROPOMI
1,Basel-Binningen,22.2290322580645,background,2610890,1265605,23.181299209594727,1,25.63074493408203,5,25.272541046142578,24.22589874267578,-0.9522669515302269,-3.4017126760175316,-3.0435087880780785,-1.9968664846112816,GBM,TROPOMI
1,Basel-Feldbergstrasse,42.1857142857143,traffic,2611745,1268490,43.75874710083008,4,32.043025970458984,5,31.586456298828125,45.82860565185547,-1.5730328151157806,10.142688315255313,10.599257986886172,-3.6428913661411713,GBM,TROPOMI
1,Basel-St-Johann,26.2322580645161,background,2610795,1268365,27.231237411499023,3,30.501094818115234,5,26.920812606811523,29.422807693481445,-0.9989793469829245,-4.268836753599135,-0.6885545422954245,-3.1905496289653463,GBM,TROPOMI
1,Bern-Bollwerk,40.1,traffic,2600170,1199990,37.77458572387695,4,34.55829620361328,1,35.68063735961914,39.56938552856445,2.3254142761230483,5.54170379638672,4.419362640380861,0.5306144714355483,GBM,TROPOMI
1,Bern-Morgartenstrasse,25.7322580645161,background,2601818,1201338,24.106721878051758,1,25.99757957458496,1,25.72592544555664,23.868610382080078,1.6255361864643412,-0.26532151006886195,0.006332618959458358,1.8636476824360209,GBM,TROPOMI
1,Bern-Wankdorf,33.9903225806452,traffic,2602040,1201565,34.10379409790039,2,36.972877502441406,1,36.09666061401367,36.45858383178711,-0.11347151725519211,-2.9825549217962077,-2.1063380333684734,-2.468261251141911,GBM,TROPOMI
1,Beromünster,11.8032258064516,background,2655840,1226780,11.1432466506958,5,9.466825485229492,5,10.155779838562012,10.88215160369873,0.6599791557557992,2.336400321222108,1.6474459678895883,0.9210742027528696,GBM,TROPOMI
1,Biel-Bienne,23.8645161290323,background,2586025,1221660,24.428743362426758,2,32.15919494628906,1,30.66135597229004,25.128183364868164,-0.5642272333944582,-8.294678817256763,-6.7968398432577395,-1.2636672358358645,GBM,TROPOMI
1,Bioggio,38.9870967741935,industry,2714170,1096525,37.466365814208984,4,32.36981964111328,2,27.53943634033203,38.7447509765625,1.520730959984519,6.617277133080222,11.447660433861472,0.24234579763100328,GBM,TROPOMI
1,Bodio,28.5774193548387,industry,2713360,1137370,30.33640480041504,3,27.83555030822754,2,28.706758499145508,33.71772003173828,-1.7589854455763394,0.7418690466111606,-0.12933914430680815,-5.140300676899582,GBM,TROPOMI
1,Brigerbad,31.0516129032258,industry,2636790,1127555,28.68317413330078,3,24.07596206665039,2,22.129043579101562,28.641338348388672,2.3684387699250173,6.975650836575408,8.922569324124236,2.4102745548371267,GBM,TROPOMI
1,Brione-sopra-Minusio,11.8322580645161,background,2706015,1115655,11.966971397399902,1,18.197616577148438,2,18.09673309326172,12.619349479675293,-0.13471333288380194,-6.365358512632337,-6.264475028745618,-0.7870914151591926,GBM,TROPOMI
1,Bulle-Rue-de-Vevey,28.7709677419355,traffic,2570695,1162924,28.032733917236328,3,23.646278381347656,4,23.760412216186523,28.907854080200195,0.7382338246991722,5.124689360587844,5.010555525748977,-0.13688633826469498,GBM,TROPOMI
1,Bussigny,34.4193548387097,traffic,2532800,1155660,34.106346130371094,5,29.106718063354492,4,32.83738708496094,37.38111877441406,0.3130087083386073,5.312636775355209,1.5819677537487635,-2.9617639357043615,GBM,TROPOMI
1,Camignolo,44.1870967741935,traffic,2715430,1106905,46.50443649291992,2,40.10687255859375,2,35.90802764892578,50.3034782409668,-2.317339718726423,4.080224215599749,8.279069125267718,-6.116381466773298,GBM,TROPOMI
1,Chaumont,6.33448275862069,background,2565090,1211040,5.085453987121582,2,4.826599597930908,4,6.324249744415283,5.599538803100586,1.2490287714991082,1.507883160689782,0.01023301420540701,0.7349439555201043,GBM,TROPOMI
1,Chiasso,49.4,traffic,2723490,1077455,47.1944465637207,1,38.30665969848633,2,39.22002029418945,45.899967193603516,2.2055534362792955,11.09334030151367,10.179979705810545,3.500032806396483,GBM,TROPOMI
1,Chur-A13,40.3451612903226,traffic,2757725,1191375,35.95698165893555,3,26.956832885742188,1,26.821430206298828,33.44194030761719,4.388179631387054,13.388328404580413,13.523731084023773,6.903220982705413,GBM,TROPOMI
1,Chur-RhB,23.7032258064516,background,2759645,1191105,22.203577041625977,4,29.385160446166992,1,23.658628463745117,20.593839645385742,1.499648764825622,-5.681934639715394,0.04459734270648141,3.1093861610658564,GBM,TROPOMI
1,Davos-Promenade,45.2612903225806,background,2781957,1185583,36.21095275878906,2,11.678192138671875,1,12.024478912353516,30.684053421020508,9.050337563791537,33.583098183908724,33.236811410227084,14.577236901560092,GBM,TROPOMI
1,Davos-Seehornwald,4.16129032258065,background,2784450,1187735,3.1127946376800537,4,11.429573059082031,1,7.304896831512451,4.596805572509766,1.0484956849005966,-7.268282736501381,-3.143606508931801,-0.4355152499291153,GBM,TROPOMI
1,Delémont,19.0387096774194,background,2593500,1246050,19.397424697875977,2,25.139516830444336,5,22.412458419799805,19.23668098449707,-0.3587150204565752,-6.100807153024935,-3.3737487423804033,-0.19797130707766897,GBM,TROPOMI
1,Dornach-Schulhaus-Brühl,20.0161290322581,background,2613144,1258911,20.277345657348633,2,23.691495895385742,5,21.092308044433594,19.479290008544922,-0.26121662509053323,-3.6753668631276426,-1.0761790121754942,0.5368390237131777,GBM,TROPOMI
1,Dübendorf-EMPA,28.7838709677419,background,2688675,1250900,27.504961013793945,1,28.082448959350586,3,27.02218246459961,27.922700881958008,1.2789099539479558,0.7014220083913152,1.7616885031422918,0.8611700857838933,GBM,TROPOMI
1,Ebikon-Sedel,25.7354838709677,background,2665480,1213325,24.777978897094727,5,27.03937339782715,4,27.964614868164062,25.966997146606445,0.9575049738729717,-1.3038895268594501,-2.229130997196364,-0.23151327563874702,GBM,TROPOMI
1,Egerkingen,32.9322580645161,traffic,2627039,1240750,29.50507354736328,5,22.799894332885742,5,19.414575576782227,29.673736572265625,3.427184517152817,10.132363731630356,13.517682487733872,3.2585214922504733,GBM,TROPOMI
1,Eggerberg,14.4161290322581,background,2634047,1128450,14.118961334228516,3,24.059288024902344,2,16.476993560791016,14.04344367980957,0.2971676980295843,-9.643158992644244,-2.0608645285329157,0.37268535244852963,GBM,TROPOMI
1,Erstfeld-A2,28.8903225806452,traffic,2691390,1188470,29.312519073486328,3,26.917816162109375,4,35.33312225341797,31.33111000061035,-0.4221964928411275,1.9725064185358256,-6.442799672772768,-2.440787419965151,GBM,TROPOMI
1,Fribourg-Chamblioux,31.7258064516129,traffic,2577125,1184538,34.39674377441406,5,33.18688201904297,1,33.581974029541016,38.08024215698242,-2.670937322801162,-1.4610755674300684,-1.8561675779281153,-6.3544357053695215,GBM,TROPOMI
1,Fribourg-Parc-Pérolles,19.2903225806452,background,2578181,1182941,18.639808654785156,1,24.485200881958008,1,24.87788963317871,20.119598388671875,0.650513925860043,-5.194878301312809,-5.587567052533512,-0.8292758080266758,GBM,TROPOMI
1,Genève-Necker,39.1806451612903,background,2499864,1118200,39.97821044921875,5,37.09551239013672,5,38.204811096191406,43.092437744140625,-0.7975652879284496,2.0851327711535816,0.9758340650988941,-3.9117925828503246,GBM,TROPOMI
1,Giubiasco,27.0903225806452,industry,2720255,1114535,29.395898818969727,1,30.76558494567871,2,28.48554039001465,28.429685592651367,-2.3055762383245266,-3.675262365033511,-1.3952178093694485,-1.3393630120061673,GBM,TROPOMI
1,Glarus-Feuerwehrstützpunkt,18.4166666666667,background,2723401,1212270,21.501955032348633,4,25.783126831054688,4,25.30316162109375,22.811546325683594,-3.085288365681933,-7.366460164387988,-6.88649495442705,-4.394879659016894,GBM,TROPOMI
1,Härkingen-A1,39.9935483870968,traffic,2628875,1240185,38.23403549194336,3,37.668487548828125,5,37.76121520996094,39.45697021484375,1.759512895153442,2.3250608382686764,2.232333177135864,0.5365781722530514,GBM,TROPOMI
1,Horgen-Sekundarschule,6.05,background,2687799,1234471,16.40218734741211,2,22.74385643005371,3,24.597360610961914,22.858924865722656,-10.352187347412109,-16.69385643005371,-18.547360610961913,-16.808924865722656,GBM,TROPOMI
