month,Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,predicted_temporalCV,residual,residual_CV,residual_spatialCV,residual_temporalCV,model,product
1,Aarau-Buchenhof,30.5064516129032,traffic,2646140,1248741,30.18818049720727,1,30.21721743967288,5,29.619376836541697,32.24781474060187,0.3182711156959286,0.2892341732303194,0.8870747763615014,-1.7413631276986692,LGB,OMI
1,Aigle,29.9433333333333,industry,2561330,1129900,29.429219281711326,3,27.380738144281246,5,27.71713613251692,28.897110165333164,0.5141140516219735,2.562595189052054,2.2261972008163795,1.046223168000136,LGB,OMI
1,Airolo,17.8516129032258,traffic,2690021,1153641,20.420200400553362,1,34.061468762944656,4,40.66873267529413,27.221415210165645,-2.568587497327563,-16.209855859718857,-22.81711977206833,-9.369802306939846,LGB,OMI
1,Altdorf,22.8483870967742,traffic,2690175,1193550,23.211249465680574,5,30.396571890872913,4,39.00769067191814,25.344512290823314,-0.3628623689063737,-7.548184794098713,-16.15930357514394,-2.496125194049114,LGB,OMI
1,Avully-Passeiry,13.8806451612903,background,2489281,1113355,13.998876413776356,4,16.542222556050415,5,15.362370604924875,16.269745440946433,-0.1182312524860567,-2.6615773947601156,-1.4817254436345753,-2.389100279656134,LGB,OMI
1,Baden-Schönaustrasse,25.38,background,2666075,1257972,26.23698847613781,3,24.40718555123721,3,24.150005663523324,31.38782806049855,-0.8569884761378113,0.9728144487627901,1.2299943364766754,-6.00782806049855,LGB,OMI
1,Basel-Binningen,22.2290322580645,background,2610890,1265605,22.403954418138667,1,26.998425230563985,5,24.85078967642589,26.338970575708533,-0.17492216007416772,-4.769392972499485,-2.6217574183613905,-4.109938317644033,LGB,OMI
1,Basel-Feldbergstrasse,42.1857142857143,traffic,2611745,1268490,43.608441150195155,4,34.05087030307498,5,30.969980270114217,49.637618702094244,-1.4227268644808575,8.134843982639318,11.21573401560008,-7.451904416379946,LGB,OMI
1,Basel-St-Johann,26.2322580645161,background,2610795,1268365,26.15608937415615,3,28.5395981011649,5,27.097371244119802,33.04363050096449,0.07616869035994966,-2.3073400366487995,-0.8651131796037035,-6.811372436448391,LGB,OMI
1,Bern-Bollwerk,40.1,traffic,2600170,1199990,37.875696517851004,4,33.65782623068582,1,38.31859487198605,40.70310462263935,2.224303482148997,6.442173769314181,1.781405128013951,-0.6031046226393499,LGB,OMI
1,Bern-Morgartenstrasse,25.7322580645161,background,2601818,1201338,26.03207660562122,1,27.10137233108512,1,29.54939867936952,29.018814173198255,-0.29981854110512174,-1.3691142665690208,-3.8171406148534217,-3.2865561086821558,LGB,OMI
1,Bern-Wankdorf,33.9903225806452,traffic,2602040,1201565,33.57026861300256,2,36.55951067141694,1,34.05223955190353,37.88972406494667,0.42005396764263736,-2.569188090771739,-0.061916971258334286,-3.899401484301471,LGB,OMI
1,Beromünster,11.8032258064516,background,2655840,1226780,12.084365418386067,3,11.69094547147354,5,12.048080321440745,11.28336920097361,-0.2811396119344671,0.11228033497805967,-0.2448545149891448,0.5198566054779903,LGB,OMI
1,Biel-Bienne,23.8645161290323,background,2586025,1221660,24.244538371806428,2,31.657316004426622,1,32.6387837918844,29.558215264899207,-0.3800222427741282,-7.792799875394323,-8.7742676628521,-5.693699135866908,LGB,OMI
1,Bioggio,38.9870967741935,industry,2714170,1096525,39.01238920865955,5,31.155750633606825,2,32.74130469607253,41.96588035958807,-0.025292434466045677,7.831346140586678,6.245792078120971,-2.9787835853945666,LGB,OMI
1,Bodio,28.5774193548387,industry,2713360,1137370,30.63315111917123,2,27.96704833680985,2,28.540221447024464,36.35538253869393,-2.0557317643325312,0.6103710180288502,0.037197907814235265,-7.777963183855231,LGB,OMI
1,Brigerbad,31.0516129032258,industry,2636790,1127555,29.819222736155563,1,25.945095891805142,2,21.685676986626692,29.076671463205194,1.2323901670702355,5.106517011420657,9.365935916599106,1.9749414400206042,LGB,OMI
1,Brione-sopra-Minusio,11.8322580645161,background,2706015,1115655,10.882044114019365,1,20.256252292337837,2,17.767134281983907,11.211146522035147,0.9502139504967353,-8.423994227821737,-5.9348762174678065,0.6211115424809535,LGB,OMI
1,Bulle-Rue-de-Vevey,28.7709677419355,traffic,2570695,1162924,29.13474087532285,3,25.0107700843211,4,26.362015259556067,31.550773657718143,-0.36377313338735107,3.760197657614402,2.4089524823794335,-2.7798059157826422,LGB,OMI
1,Bussigny,34.4193548387097,traffic,2532800,1155660,33.607503717568214,2,32.96905771459626,4,32.30510719552522,39.4379030569341,0.8118511211414869,1.4502971241134404,2.114247643184484,-5.018548218224396,LGB,OMI
1,Camignolo,44.1870967741935,traffic,2715430,1106905,45.69649650641445,4,41.69172931400644,2,39.88645361887005,54.102127215341135,-1.509399732220949,2.4953674601870617,4.300643155323449,-9.915030441147636,LGB,OMI
1,Chaumont,6.33448275862069,background,2565090,1211040,6.928981095719788,1,7.319356748674089,4,8.64756461892096,6.452324067857958,-0.5944983370990977,-0.9848739900533987,-2.3130818603002696,-0.1178413092372681,LGB,OMI
1,Chiasso,49.4,traffic,2723490,1077455,49.20681778639466,1,41.24139302885974,2,39.95495138052419,53.212768045133714,0.19318221360533983,8.158606971140259,9.445048619475806,-3.8127680451337156,LGB,OMI
1,Chur-A13,40.3451612903226,traffic,2757725,1191375,38.494330536761446,4,27.507471329932947,1,28.62010448903216,34.956079124519206,1.850830753561155,12.837689960389653,11.725056801290442,5.389082165803394,LGB,OMI
1,Chur-RhB,23.7032258064516,background,2759645,1191105,23.364876473188893,4,25.140228379617717,1,25.536489396340112,18.699623205588956,0.33834933326270544,-1.4370025731661187,-1.8332635898885137,5.003602600862642,LGB,OMI
1,Davos-Promenade,45.2612903225806,background,2781957,1185583,43.14455272600361,4,17.863894542021875,1,13.870979653735818,36.794377557399784,2.1167375965769892,27.397395780558725,31.390310668844783,8.466912765180815,LGB,OMI
1,Davos-Seehornwald,4.16129032258065,background,2784450,1187735,3.6315426058099836,4,8.467019169407216,1,7.151140525272765,3.660810865782837,0.5297477167706668,-4.3057288468265655,-2.9898502026921143,0.5004794567978132,LGB,OMI
1,Delémont,19.0387096774194,background,2593500,1246050,19.137256152326668,5,23.377048816615005,5,23.88423235328698,21.808073530732635,-0.0985464749072662,-4.338339139195604,-4.845522675867578,-2.7693638533132336,LGB,OMI
1,Dornach-Schulhaus-Brühl,20.0161290322581,background,2613144,1258911,21.162117152669513,1,23.395236411017535,5,22.748345974847602,22.97111104088963,-1.1459881204114133,-3.3791073787594357,-2.7322169425895027,-2.954982008631532,LGB,OMI
1,Dübendorf-EMPA,28.7838709677419,background,2688675,1250900,28.76426151229673,1,27.118006287923375,3,27.473438774454362,31.131743701209288,0.019609455445170454,1.665864679818526,1.3104321932875393,-2.347872733467387,LGB,OMI
1,Ebikon-Sedel,25.7354838709677,background,2665480,1213325,24.41602648322579,5,28.963989430107922,4,27.994152821961826,26.597864118359887,1.3194573877419096,-3.228505559140224,-2.258668950994128,-0.8623802473921884,LGB,OMI
1,Egerkingen,32.9322580645161,traffic,2627039,1240750,31.902577329820943,1,24.899470969791842,5,23.723826031168223,35.34571546318372,1.0296807346951553,8.032787094724256,9.208432033347876,-2.4134573986676244,LGB,OMI
1,Eggerberg,14.4161290322581,background,2634047,1128450,13.54418438370266,2,21.188083041859304,2,15.127766357645442,12.933049598400505,0.8719446485554396,-6.771954009601204,-0.7116373253873416,1.4830794338575952,LGB,OMI
1,Erstfeld-A2,28.8903225806452,traffic,2691390,1188470,29.422730850609696,3,34.44443919141668,4,36.01883415438899,31.359803565342414,-0.5324082699644954,-5.554116610771477,-7.12851157374379,-2.4694809846972134,LGB,OMI
1,Fribourg-Chamblioux,31.7258064516129,traffic,2577125,1184538,34.46017547639232,5,37.13392225027454,1,37.47493065694463,39.45171060482882,-2.734369024779422,-5.408115798661637,-5.749124205331729,-7.725904153215918,LGB,OMI
1,Fribourg-Parc-Pérolles,19.2903225806452,background,2578181,1182941,19.18931262040384,2,26.33980485190954,1,27.665305362024885,23.614394099965622,0.10100996024135966,-7.049482271264342,-8.374982781379686,-4.324071519320423,LGB,OMI
1,Genève-Necker,39.1806451612903,background,2499864,1118200,39.64282180150496,1,38.87072738934028,5,37.17248953467342,44.02928160508672,-0.46217664021465765,0.309917771950019,2.008155626616883,-4.848636443796423,LGB,OMI
1,Giubiasco,27.0903225806452,industry,2720255,1114535,27.372533239135457,1,30.964567033222224,2,32.37969652592561,31.837162806176618,-0.28221065849025706,-3.874244452577024,-5.28937394528041,-4.746840225531418,LGB,OMI
1,Härkingen-A1,39.9935483870968,traffic,2628875,1240185,40.31457897591522,3,38.37884071090627,5,37.919352759931584,40.940624162178835,-0.3210305888184166,1.614707676190534,2.074195627165217,-0.947075775082034,LGB,OMI
1,Ittigen,25.7967741935484,background,2603050,1202815,25.940758119806176,4,25.344555884518,1,24.18637674662867,27.937001571359705,-0.1439839262577749,0.4522183090303997,1.6103974469197304,-2.1402273778113035,LGB,OMI
1,Jungfraujoch,0.18,background,2641910,1155280,1.3003330397371382,4,12.206480009086551,1,8.68438144450603,3.165370758471433,-1.1203330397371383,-12.026480009086551,-8.50438144450603,-2.985370758471433,LGB,OMI
1,La-Chaux-de-Fonds,25.9612903225806,traffic,2553467,1216963,27.38102859998335,2,30.126640143259262,4,32.892028193250574,37.06577056315184,-1.4197382774027503,-4.165349820678664,-6.930737870669976,-11.104480240571238,LGB,OMI
1,Langenthal,21.1709677419355,background,2626340,1228935,20.06601637018099,4,23.948639856784165,5,26.60665034390214,21.005949724612414,1.1049513717545096,-2.7776721148486665,-5.43568260196664,0.16501801732308508,LGB,OMI
1,Lausanne-César-Roux,30.8774193548387,traffic,2538695,1152615,31.885794414975333,5,36.491192140876535,4,36.47479668868202,40.15119103654055,-1.0083750601366326,-5.613772786037835,-5.597377333843319,-9.273771681701852,LGB,OMI
