month,Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,predicted_temporalCV,residual,residual_CV,residual_spatialCV,residual_temporalCV,model,product
1,Aarau-Buchenhof,30.5064516129032,traffic,2646140,1248741,27.56378130114058,4,28.930635277091618,5,29.900123188608934,28.43184912938104,2.942670311762619,1.5758163358115809,0.606328424294265,2.0746024835221597,RF,TROPOMI
1,Aigle,29.9433333333333,industry,2561330,1129900,25.12581247381982,1,23.513130992920505,5,24.699052829150116,25.906694589090684,4.817520859513479,6.430202340412794,5.244280504183184,4.036638744242616,RF,TROPOMI
1,Airolo,17.8516129032258,traffic,2690021,1153641,25.05522843369632,4,29.002767165032445,4,31.746717914666128,24.24975125739958,-7.203615530470522,-11.151154261806646,-13.895105011440329,-6.398138354173781,RF,TROPOMI
1,Altdorf,22.8483870967742,traffic,2690175,1193550,24.384551573945533,3,26.620187051214423,4,32.81458708561254,23.9353968311741,-1.536164477171333,-3.7717999544402225,-9.966199988838337,-1.0870097343998992,RF,TROPOMI
1,Avully-Passeiry,13.8806451612903,background,2489281,1113355,13.437581801697652,4,12.92397598997312,5,10.037918956918265,12.696496815314745,0.44306335959264764,0.9566691713171789,3.8427262043720347,1.1841483459755544,RF,TROPOMI
1,Baden-Schönaustrasse,25.38,background,2666075,1257972,23.631308093444645,3,24.21100671699482,3,23.860269196026135,25.52468912842195,1.7486919065553543,1.1689932830051788,1.5197308039738644,-0.1446891284219518,RF,TROPOMI
1,Basel-Binningen,22.2290322580645,background,2610890,1265605,23.30142213078643,1,24.203539420708626,5,24.946299425787547,23.699032134294477,-1.0723898727219314,-1.9745071626441266,-2.7172671677230475,-1.469999876229977,RF,TROPOMI
1,Basel-Feldbergstrasse,42.1857142857143,traffic,2611745,1268490,42.78705991713622,4,31.600784388180926,5,32.319288558007855,44.58359559430394,-0.6013456314219212,10.584929897533371,9.866425727706442,-2.397881308589639,RF,TROPOMI
1,Basel-St-Johann,26.2322580645161,background,2610795,1268365,28.266946946016933,3,30.776938058291005,5,29.64188709411398,28.714939509212485,-2.034688881500834,-4.544679993774906,-3.4096290295978804,-2.482681444696386,RF,TROPOMI
1,Bern-Bollwerk,40.1,traffic,2600170,1199990,35.1837992214938,4,33.115379543326625,1,33.957029296402844,37.56675269950705,4.916200778506202,6.984620456673376,6.1429707035971575,2.5332473004929525,RF,TROPOMI
1,Bern-Morgartenstrasse,25.7322580645161,background,2601818,1201338,24.93392673716337,1,26.304230131065548,1,26.022776514607376,24.897290570282077,0.7983313273527273,-0.5719720665494492,-0.29051845009127675,0.8349674942340215,RF,TROPOMI
1,Bern-Wankdorf,33.9903225806452,traffic,2602040,1201565,30.61236037547111,2,33.82290685037212,1,32.35006617529502,32.39320239205157,3.3779622051740894,0.16741573027307766,1.6402564053501791,1.5971201885936281,RF,TROPOMI
1,Beromünster,11.8032258064516,background,2655840,1226780,9.640528712931259,5,5.939061907921139,5,7.94542510992559,9.494973301298812,2.1626970935203413,5.864163898530461,3.8578006965260103,2.3082525051527885,RF,TROPOMI
1,Biel-Bienne,23.8645161290323,background,2586025,1221660,25.27745418742897,2,30.255808463954168,1,30.24584994481631,24.490330381665682,-1.4129380583966693,-6.391292334921868,-6.381333815784011,-0.6258142526333828,RF,TROPOMI
1,Bioggio,38.9870967741935,industry,2714170,1096525,33.7890619124168,4,29.57392824819206,2,27.7079566595544,35.51769045818874,5.198034861776705,9.413168526001442,11.279140114639102,3.469406316004765,RF,TROPOMI
1,Bodio,28.5774193548387,industry,2713360,1137370,28.688331875683396,3,23.277616018662695,2,24.565743675320856,29.754862608481897,-0.11091252084469616,5.299803336176005,4.011675679517843,-1.1774432536431974,RF,TROPOMI
1,Brigerbad,31.0516129032258,industry,2636790,1127555,24.07753900240094,3,21.235030887694485,2,22.801860186091787,24.974385709405656,6.974073900824859,9.816582015531313,8.249752717134012,6.077227193820143,RF,TROPOMI
1,Brione-sopra-Minusio,11.8322580645161,background,2706015,1115655,14.81579968334393,1,21.3491298183631,2,21.056473934620765,14.6613166453318,-2.9835416188278288,-9.516871753847,-9.224215870104665,-2.8290585808156994,RF,TROPOMI
1,Bulle-Rue-de-Vevey,28.7709677419355,traffic,2570695,1162924,24.663741724786302,3,22.40071181956711,4,23.570718680625564,26.77420386414646,4.107226017149198,6.37025592236839,5.200249061309936,1.9967638777890393,RF,TROPOMI
1,Bussigny,34.4193548387097,traffic,2532800,1155660,32.33534483643441,5,29.63958833627969,4,30.985713237347248,34.14531001053604,2.084010002275292,4.779766502430011,3.433641601362453,0.2740448281736576,RF,TROPOMI
1,Camignolo,44.1870967741935,traffic,2715430,1106905,45.18827049847452,2,35.84545002232781,2,33.401479235284214,47.64164764937554,-1.0011737242810241,8.341646751865689,10.785617538909285,-3.4545508751820435,RF,TROPOMI
1,Chaumont,6.33448275862069,background,2565090,1211040,6.5342328270387595,2,8.037566264628653,4,8.44466403728775,6.121566111841634,-0.1997500684180693,-1.703083506007963,-2.110181278667059,0.21291664677905597,RF,TROPOMI
1,Chiasso,49.4,traffic,2723490,1077455,41.486617430012735,1,35.65022755922561,2,34.312288742378094,41.42769345484568,7.913382569987263,13.749772440774386,15.087711257621905,7.972306545154318,RF,TROPOMI
1,Chur-A13,40.3451612903226,traffic,2757725,1191375,29.032596901326528,3,25.516268639734072,1,25.340208232889708,30.162199510410343,11.312564388996073,14.828892650588529,15.004953057432893,10.182961779912258,RF,TROPOMI
1,Chur-RhB,23.7032258064516,background,2759645,1191105,21.116243250655163,4,27.113067973291074,1,24.75594936470942,20.40615837970484,2.5869825557964354,-3.409842166839475,-1.0527235582578207,3.2970674267467572,RF,TROPOMI
1,Davos-Promenade,45.2612903225806,background,2781957,1185583,29.34360873573356,2,14.666364938543165,1,15.957664420011662,31.46385292095545,15.917681586847038,30.594925384037435,29.30362590256894,13.79743740162515,RF,TROPOMI
1,Davos-Seehornwald,4.16129032258065,background,2784450,1187735,4.434151026412341,4,14.053520293776058,1,11.123198003517473,4.160492086003854,-0.27286070383169037,-9.892229971195409,-6.9619076809368226,7.982365767960076e-4,RF,TROPOMI
1,Delémont,19.0387096774194,background,2593500,1246050,20.687280751437026,2,23.51706995915787,5,22.1323844508282,20.309214758639396,-1.6485710740176245,-4.478360281738468,-3.0936747734088,-1.2705050812199943,RF,TROPOMI
1,Dornach-Schulhaus-Brühl,20.0161290322581,background,2613144,1258911,19.800526739462633,2,23.09354499205253,5,18.754999141446678,20.3583473362168,0.2156022927954666,-3.077415959794429,1.2611298908114215,-0.342218303958699,RF,TROPOMI
1,Dübendorf-EMPA,28.7838709677419,background,2688675,1250900,25.47640783824323,1,26.496889397744887,3,26.152888330249557,27.510028558085175,3.3074631294986716,2.286981569997014,2.6309826374923446,1.2738424096567265,RF,TROPOMI
1,Ebikon-Sedel,25.7354838709677,background,2665480,1213325,23.477418855535504,5,25.902782163749535,4,27.459032702695296,25.445913432007593,2.2580650154321944,-0.16729829278183672,-1.723548831727598,0.28957043896010504,RF,TROPOMI
1,Egerkingen,32.9322580645161,traffic,2627039,1240750,26.303402667437958,5,22.331289902869088,5,22.015756306338297,29.020512406267372,6.628855397078141,10.60096816164701,10.916501758177802,3.9117456582487264,RF,TROPOMI
1,Eggerberg,14.4161290322581,background,2634047,1128450,12.012118457368635,3,18.00428503954341,2,16.653500576470737,11.678216813800711,2.4040105748894653,-3.5881560072853116,-2.237371544212637,2.7379122184573887,RF,TROPOMI
1,Erstfeld-A2,28.8903225806452,traffic,2691390,1188470,27.89148811814368,3,25.828985513766263,4,31.69987053525876,27.520800652721938,0.9988344625015202,3.061337066878938,-2.80954795461356,1.3695219279232624,RF,TROPOMI
1,Fribourg-Chamblioux,31.7258064516129,traffic,2577125,1184538,35.976512597610665,5,34.46515197959501,1,34.08163285669489,37.961398486243866,-4.250706145997764,-2.739345527982106,-2.355826405081988,-6.235592034630965,RF,TROPOMI
1,Fribourg-Parc-Pérolles,19.2903225806452,background,2578181,1182941,21.547177835886448,1,22.96892788422805,1,23.687799732778956,21.162176822409247,-2.2568552552412484,-3.6786053035828523,-4.397477152133757,-1.8718542417640478,RF,TROPOMI
1,Genève-Necker,39.1806451612903,background,2499864,1118200,39.16762316167626,5,38.14465372041589,5,37.53168692317628,40.587572711933234,0.013021999614039714,1.0359914408744118,1.6489582381140195,-1.4069275506429335,RF,TROPOMI
1,Giubiasco,27.0903225806452,industry,2720255,1114535,30.96945444267169,1,28.829238383842956,2,28.068029982071366,30.961981955387945,-3.8791318620264903,-1.7389158031977558,-0.9777074014261657,-3.8716593747427446,RF,TROPOMI
1,Glarus-Feuerwehrstützpunkt,18.4166666666667,background,2723401,1212270,20.12725444561412,4,22.060708455954668,4,21.4300157365606,21.53953609441282,-1.7105877789474206,-3.644041789287968,-3.0133490698938985,-3.122869427746121,RF,TROPOMI
1,Härkingen-A1,39.9935483870968,traffic,2628875,1240185,36.51704088139835,3,38.79697124341867,5,37.92447074881029,37.38847369470242,3.47650750569845,1.1965771436781338,2.069077638286508,2.605074692394382,RF,TROPOMI
