month,Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,predicted_temporalCV,residual,residual_CV,residual_spatialCV,residual_temporalCV,model,product
1,Aarau-Buchenhof,30.5064516129032,traffic,2646140,1248741,31.622987566665817,4,31.540985216803875,5,31.45546928017912,25.056563197562436,-1.116535953762618,-1.0345336039006767,-0.9490176672759212,5.449888415340762,SLMER,OMI
1,Aigle,29.9433333333333,industry,2561330,1129900,20.866616789909465,1,20.11688709010807,5,20.10758976735881,14.021274386649274,9.076716543423835,9.82644624322523,9.83574356597449,15.922058946684025,SLMER,OMI
1,Airolo,17.8516129032258,traffic,2690021,1153641,31.404259564648136,4,33.83909578768684,4,33.47772564636812,24.177816705249764,-13.552646661422337,-15.987482884461038,-15.626112743142322,-6.326203802023965,SLMER,OMI
1,Altdorf,22.8483870967742,traffic,2690175,1193550,30.50122899607173,3,30.154066449525956,4,31.311604519370608,23.638964690551855,-7.652841899297531,-7.305679352751756,-8.463217422596408,-0.7905775937776554,SLMER,OMI
1,Avully-Passeiry,13.8806451612903,background,2489281,1113355,16.256587712020078,4,15.973360622489675,5,16.774030306840533,9.837757930870534,-2.3759425507297784,-2.0927154611993757,-2.8933851455502335,4.042887230419765,SLMER,OMI
1,Baden-Schönaustrasse,25.38,background,2666075,1257972,25.31967402863314,3,25.275623973383983,3,25.87530180053163,18.667137728176055,0.0603259713668578,0.1043760266160163,-0.49530180053163164,6.712862271823944,SLMER,OMI
1,Basel-Binningen,22.2290322580645,background,2610890,1265605,25.689971709303595,1,25.017526990386987,5,24.5872838107681,19.06164375816167,-3.4609394512390956,-2.788494732322487,-2.3582515527035994,3.167388499902831,SLMER,OMI
1,Basel-Feldbergstrasse,42.1857142857143,traffic,2611745,1268490,42.73541964276297,4,41.67992897392396,5,39.01516133691067,36.38834911361403,-0.5497053570486727,0.5057853117903406,3.170552948803625,5.797365172100271,SLMER,OMI
1,Basel-St-Johann,26.2322580645161,background,2610795,1268365,35.96096715974799,3,36.158064945602746,5,33.68941550056747,29.548921718313178,-9.728709095231888,-9.925806881086647,-7.4571574360513715,-3.316663653797079,SLMER,OMI
1,Bern-Bollwerk,40.1,traffic,2600170,1199990,39.45284076027294,4,39.28061950841415,1,39.23499342730373,32.88130373833598,0.6471592397270598,0.8193804915858536,0.8650065726962737,7.218696261664022,SLMER,OMI
1,Bern-Morgartenstrasse,25.7322580645161,background,2601818,1201338,29.005639042628307,1,28.767656442298147,1,28.76862774916797,22.35709233388666,-3.2733809781122076,-3.035398377782048,-3.03636968465187,3.3751657306294405,SLMER,OMI
1,Bern-Wankdorf,33.9903225806452,traffic,2602040,1201565,30.659225266634014,2,30.826888216536766,1,29.861758716759006,24.01388309196492,3.331097314011185,3.163434364108433,4.128563863886193,9.976439488680278,SLMER,OMI
1,Beromünster,11.8032258064516,background,2655840,1226780,12.938297911454612,5,12.035199381272074,5,12.340010166844129,6.7285701494031915,-1.1350721050030117,-0.23197357482047387,-0.5367843603925291,5.0746556570484085,SLMER,OMI
1,Biel-Bienne,23.8645161290323,background,2586025,1221660,29.17241690097781,2,30.029129611358194,1,29.541955511131697,22.515352701136063,-5.307900771945512,-6.164613482325894,-5.677439382099397,1.3491634278962366,SLMER,OMI
1,Bioggio,38.9870967741935,industry,2714170,1096525,31.302520029352692,4,30.479666837195104,2,24.564372705111165,24.01413211244611,7.684576744840811,8.507429936998399,14.422724069082339,14.972964661747394,SLMER,OMI
1,Bodio,28.5774193548387,industry,2713360,1137370,28.6981073493651,3,28.643433542090914,2,25.3571135190013,21.546008989028802,-0.12068799452639922,-0.06601418725221464,3.220305835837401,7.031410365809897,SLMER,OMI
1,Brigerbad,31.0516129032258,industry,2636790,1127555,20.46871414831921,3,20.931091086957395,2,17.931004859319618,12.99178035891348,10.582898754906587,10.120521816268404,13.12060804390618,18.059832544312318,SLMER,OMI
1,Brione-sopra-Minusio,11.8322580645161,background,2706015,1115655,24.511161458031427,1,25.029724586661153,2,20.187657563208713,17.581117530089216,-12.678903393515327,-13.197466522145053,-8.355399498692613,-5.748859465573116,SLMER,OMI
1,Bulle-Rue-de-Vevey,28.7709677419355,traffic,2570695,1162924,24.214645565449853,3,24.0886228110191,4,23.849381944327146,17.58708760294263,4.556322176485647,4.6823449309164005,4.921585797608355,11.183880138992869,SLMER,OMI
1,Bussigny,34.4193548387097,traffic,2532800,1155660,31.27814502904182,5,30.887222684543804,4,30.76627789734054,24.777844810614553,3.141209809667881,3.5321321541658968,3.653076941369161,9.641510028095148,SLMER,OMI
1,Camignolo,44.1870967741935,traffic,2715430,1106905,35.68323362348587,2,35.78401812895431,2,29.7790862267868,28.567903607147183,8.50386315070763,8.40307864523919,14.4080105474067,15.619193167046316,SLMER,OMI
1,Chaumont,6.33448275862069,background,2565090,1211040,11.9413004351666,2,12.774422408764451,4,11.693226656957854,5.880623021501728,-5.6068176765459095,-6.439939650143761,-5.358743898337164,0.4538597371189619,SLMER,OMI
1,Chiasso,49.4,traffic,2723490,1077455,40.63454013735291,1,43.62241552884661,2,32.81923862859193,33.15763047810138,8.765459862647091,5.777584471153389,16.580761371408066,16.242369521898617,SLMER,OMI
1,Chur-A13,40.3451612903226,traffic,2757725,1191375,30.172468119086506,3,29.95946059928548,1,29.66394226504867,23.158537438028837,10.172693171236094,10.385700691037119,10.68121902527393,17.186623852293764,SLMER,OMI
1,Chur-RhB,23.7032258064516,background,2759645,1191105,27.558076701107435,4,29.412451725621427,1,27.23512970835849,20.413416138004607,-3.8548508946558364,-5.709225919169828,-3.5319039019068903,3.289809668446992,SLMER,OMI
1,Davos-Promenade,45.2612903225806,background,2781957,1185583,16.325623828407323,2,14.813476326905064,1,14.948626870171129,8.931753307002595,28.935666494173276,30.447813995675535,30.31266345240947,36.329537015578005,SLMER,OMI
1,Davos-Seehornwald,4.16129032258065,background,2784450,1187735,12.103858384348207,4,14.388737325181813,1,11.382437382313114,4.7404554775908805,-7.942568061767557,-10.227447002601163,-7.221147059732464,-0.5791651550102301,SLMER,OMI
1,Delémont,19.0387096774194,background,2593500,1246050,21.580077865482195,2,22.430973786543852,5,21.03453616975667,15.173985829919953,-2.541368188062794,-3.3922641091244508,-1.9958264923372688,3.864723847499448,SLMER,OMI
1,Dornach-Schulhaus-Brühl,20.0161290322581,background,2613144,1258911,22.269726828075875,2,23.11789654391257,5,22.65669581478374,15.71424490825994,-2.2535977958177753,-3.1017675116544687,-2.6405667825256387,4.3018841239981604,SLMER,OMI
1,Dübendorf-EMPA,28.7838709677419,background,2688675,1250900,29.258041520815507,1,29.269141760901217,3,29.883095213546103,22.441835954350807,-0.47417055307360556,-0.48527079315931587,-1.0992242458042014,6.342035013391094,SLMER,OMI
1,Ebikon-Sedel,25.7354838709677,background,2665480,1213325,27.085132380431904,5,27.273612436747637,4,27.80270746490142,20.362104500618358,-1.3496485094642061,-1.5381285657799388,-2.067223593933722,5.37337937034934,SLMER,OMI
1,Egerkingen,32.9322580645161,traffic,2627039,1240750,28.009377691122655,5,28.005879726572925,5,27.921383556003168,21.427988753391574,4.922880373393443,4.926378337943174,5.010874508512931,11.504269311124524,SLMER,OMI
1,Eggerberg,14.4161290322581,background,2634047,1128450,18.656407501439368,3,19.131122977917965,2,15.417887237037856,11.05281034977656,-4.240278469181268,-4.714993945659865,-1.0017582047797564,3.3633186824815393,SLMER,OMI
1,Erstfeld-A2,28.8903225806452,traffic,2691390,1188470,26.526780005628808,3,26.280963873016653,4,27.681974264331597,19.575265070855483,2.3635425750163925,2.609358707628548,1.2083483163136037,9.315057509789717,SLMER,OMI
1,Fribourg-Chamblioux,31.7258064516129,traffic,2577125,1184538,34.93960780799261,5,34.78755230075537,1,34.9311099529946,28.2394998188054,-3.213801356379708,-3.061745849142472,-3.205303501381703,3.4863066328075014,SLMER,OMI
1,Fribourg-Parc-Pérolles,19.2903225806452,background,2578181,1182941,23.974522581931833,1,23.590314116029155,1,23.427776003216117,17.26357975973353,-4.684200001286634,-4.299991535383956,-4.137453422570918,2.026742820911668,SLMER,OMI
1,Genève-Necker,39.1806451612903,background,2499864,1118200,42.07160940359823,5,41.84514852170927,5,41.43016333073379,35.26554151183741,-2.8909642423079305,-2.664503360418969,-2.2495181694434905,3.915103649452888,SLMER,OMI
1,Giubiasco,27.0903225806452,industry,2720255,1114535,27.699808080901636,1,27.67087245405662,2,22.071309305287276,20.484759343241645,-0.6094855002564366,-0.580549873411421,5.019013275357924,6.605563237403555,SLMER,OMI
1,Glarus-Feuerwehrstützpunkt,18.4166666666667,background,2723401,1212270,17.706744728881105,4,18.895265159660017,4,18.144656521382316,10.987662852120724,0.7099219377855945,-0.47859849299331714,0.2720101452843835,7.429003814545975,SLMER,OMI
1,Härkingen-A1,39.9935483870968,traffic,2628875,1240185,34.67070092026792,3,34.045363785015326,5,34.24079067947945,28.112973655004417,5.3228474668288825,5.948184602081476,5.752757707617349,11.880574732092384,SLMER,OMI
