month,Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,predicted_temporalCV,residual,residual_CV,residual_spatialCV,residual_temporalCV,model,product
1,Aarau-Buchenhof,30.5064516129032,traffic,2646140,1248741,30.3765869140625,1,31.104726791381836,5,31.21474838256836,31.750139236450195,0.12986469884069862,-0.5982751784786373,-0.7082967696651608,-1.2436876235469967,XGB,TROPOMI
1,Aigle,29.9433333333333,industry,2561330,1129900,29.47901153564453,3,27.84484100341797,5,27.51344871520996,29.317882537841797,0.46432179768876836,2.098492329915331,2.4298846181233387,0.6254507954915027,XGB,TROPOMI
1,Airolo,17.8516129032258,traffic,2690021,1153641,19.10395050048828,1,28.586580276489258,4,41.68440246582031,27.379283905029297,-1.252337597262482,-10.734967373263459,-23.832789562594513,-9.527671001803498,XGB,TROPOMI
1,Altdorf,22.8483870967742,traffic,2690175,1193550,23.096895217895508,5,30.0612735748291,4,39.13134002685547,29.58681869506836,-0.24850812112130782,-7.212886478054902,-16.28295293008127,-6.738431598294159,XGB,TROPOMI
1,Avully-Passeiry,13.8806451612903,background,2489281,1113355,13.973480224609375,4,17.306840896606445,5,14.694143295288086,14.991788864135742,-0.09283506331907532,-3.4261957353161456,-0.8134981339977863,-1.1111437028454425,XGB,TROPOMI
1,Baden-Schönaustrasse,25.38,background,2666075,1257972,26.659517288208008,3,26.38739585876465,3,25.825700759887695,27.524389266967773,-1.2795172882080088,-1.0073958587646494,-0.4457007598876963,-2.1443892669677744,XGB,TROPOMI
1,Basel-Binningen,22.2290322580645,background,2610890,1265605,22.733095169067383,1,28.25265884399414,5,24.627365112304688,22.43396759033203,-0.5040629110028831,-6.023626585929641,-2.398332854240188,-0.20493533226753158,XGB,TROPOMI
1,Basel-Feldbergstrasse,42.1857142857143,traffic,2611745,1268490,42.30963897705078,4,36.4951286315918,5,30.742677688598633,49.86750793457031,-0.12392469133648376,5.690585654122501,11.443036597115665,-7.681793648856015,XGB,TROPOMI
1,Basel-St-Johann,26.2322580645161,background,2610795,1268365,27.088346481323242,3,31.38656997680664,5,29.071178436279297,31.845233917236328,-0.8560884168071432,-5.154311912290542,-2.838920371763198,-5.612975852720229,XGB,TROPOMI
1,Bern-Bollwerk,40.1,traffic,2600170,1199990,38.995521545410156,4,32.52647399902344,1,37.87932205200195,41.717864990234375,1.1044784545898452,7.573526000976564,2.2206779479980483,-1.6178649902343736,XGB,TROPOMI
1,Bern-Morgartenstrasse,25.7322580645161,background,2601818,1201338,26.19624900817871,1,26.49087142944336,1,25.97702407836914,24.164608001708984,-0.46399094366261195,-0.7586133649272604,-0.24476601385304164,1.5676500628071146,XGB,TROPOMI
1,Bern-Wankdorf,33.9903225806452,traffic,2602040,1201565,32.85478973388672,2,37.0457649230957,1,40.43110275268555,38.810951232910156,1.1355328467584798,-3.0554423424505046,-6.440780172040348,-4.820628652264958,XGB,TROPOMI
1,Beromünster,11.8032258064516,background,2655840,1226780,11.48183536529541,3,10.51574420928955,5,11.496039390563965,10.122097969055176,0.32139044115618987,1.2874815971620492,0.3071864158876352,1.6811278373964242,XGB,TROPOMI
1,Biel-Bienne,23.8645161290323,background,2586025,1221660,24.486326217651367,2,31.14059829711914,1,31.27153968811035,26.67059326171875,-0.6218100886190676,-7.276082168086841,-7.407023559078052,-2.8060771326864504,XGB,TROPOMI
1,Bioggio,38.9870967741935,industry,2714170,1096525,39.02231216430664,5,33.43009948730469,2,29.399364471435547,42.72998809814453,-0.035215390113137346,5.556997286888816,9.587732302757956,-3.742891323951028,XGB,TROPOMI
1,Bodio,28.5774193548387,industry,2713360,1137370,29.433992385864258,2,30.479900360107422,2,30.395538330078125,35.75836181640625,-0.8565730310255582,-1.9024810052687222,-1.8181189752394253,-7.18094246156755,XGB,TROPOMI
1,Brigerbad,31.0516129032258,industry,2636790,1127555,30.332561492919922,1,26.737491607666016,2,19.26471519470215,29.014530181884766,0.7190514103058767,4.314121295559783,11.78689770852365,2.037082721341033,XGB,TROPOMI
1,Brione-sopra-Minusio,11.8322580645161,background,2706015,1115655,11.925312042236328,1,20.701072692871094,2,17.557979583740234,11.427460670471191,-0.09305397772022772,-8.868814628354993,-5.725721519224134,0.404797394044909,XGB,TROPOMI
1,Bulle-Rue-de-Vevey,28.7709677419355,traffic,2570695,1162924,29.5074462890625,3,26.29252815246582,4,25.176864624023438,35.9292106628418,-0.7364785471269997,2.47843958946968,3.594103117912063,-7.1582429209062965,XGB,TROPOMI
1,Bussigny,34.4193548387097,traffic,2532800,1155660,33.494380950927734,2,34.173980712890625,4,35.390960693359375,42.325130462646484,0.9249738877819667,0.24537412581907603,-0.971605854649674,-7.905775623936783,XGB,TROPOMI
1,Camignolo,44.1870967741935,traffic,2715430,1106905,45.37702178955078,4,40.75700378417969,2,36.778167724609375,53.9255256652832,-1.1899250153572822,3.4300929900138115,7.408929049584124,-9.738428891089704,XGB,TROPOMI
1,Chaumont,6.33448275862069,background,2565090,1211040,5.656722068786621,1,2.7952470779418945,4,9.489995002746582,7.08443546295166,0.6777606898340691,3.5392356806787957,-3.155512244125892,-0.7499527043309699,XGB,TROPOMI
1,Chiasso,49.4,traffic,2723490,1077455,49.80812454223633,1,40.30833435058594,2,38.08382797241211,52.7388801574707,-0.40812454223632955,9.091665649414061,11.31617202758789,-3.3388801574707045,XGB,TROPOMI
1,Chur-A13,40.3451612903226,traffic,2757725,1191375,39.611793518066406,4,29.36858367919922,1,27.110084533691406,40.02171325683594,0.7333677722561944,10.976577611123382,13.235076756631194,0.3234480334866632,XGB,TROPOMI
1,Chur-RhB,23.7032258064516,background,2759645,1191105,23.185632705688477,4,23.221370697021484,1,23.545135498046875,23.63231086730957,0.517593100763122,0.4818551094301142,0.1580903084047236,0.07091493914202829,XGB,TROPOMI
1,Davos-Promenade,45.2612903225806,background,2781957,1185583,44.623165130615234,4,17.119400024414062,1,13.63313102722168,38.53947067260742,0.638125191965365,28.141890298166537,31.62815929535892,6.7218196499731775,XGB,TROPOMI
1,Davos-Seehornwald,4.16129032258065,background,2784450,1187735,3.8264458179473877,4,2.396148443222046,1,5.314977169036865,3.7157199382781982,0.33484450463326265,1.7651418793586044,-1.1536868464562149,0.4455703843024521,XGB,TROPOMI
1,Delémont,19.0387096774194,background,2593500,1246050,19.92954444885254,5,26.6822509765625,5,24.15847396850586,20.719738006591797,-0.8908347714331377,-7.643541299143099,-5.119764291086458,-1.6810283291723955,XGB,TROPOMI
1,Dornach-Schulhaus-Brühl,20.0161290322581,background,2613144,1258911,20.98678207397461,1,25.582862854003906,5,25.490345001220703,20.39817237854004,-0.9706530417165098,-5.566733821745807,-5.4742159689626035,-0.3820433462819395,XGB,TROPOMI
1,Dübendorf-EMPA,28.7838709677419,background,2688675,1250900,28.95814323425293,1,26.985898971557617,3,28.28209686279297,27.012351989746094,-0.17427226651102856,1.797971996184284,0.5017741049489324,1.7715189779958074,XGB,TROPOMI
1,Ebikon-Sedel,25.7354838709677,background,2665480,1213325,25.4660587310791,5,30.798290252685547,4,32.21487808227539,22.902727127075195,0.26942513988859673,-5.062806381717849,-6.479394211307692,2.832756743892503,XGB,TROPOMI
1,Egerkingen,32.9322580645161,traffic,2627039,1240750,33.14963150024414,1,28.156251907348633,5,28.379436492919922,33.207462310791016,-0.21737343572804235,4.7760061571674655,4.552821571596176,-0.27520424627491735,XGB,TROPOMI
1,Eggerberg,14.4161290322581,background,2634047,1128450,13.852375984191895,2,25.6957950592041,2,29.10561752319336,14.712112426757812,0.5637530480662054,-11.279666026946002,-14.68948849093526,-0.29598339449971256,XGB,TROPOMI
1,Erstfeld-A2,28.8903225806452,traffic,2691390,1188470,30.55966567993164,3,38.76786422729492,4,37.97987365722656,37.09140396118164,-1.66934309928644,-9.877541646649721,-9.089551076581362,-8.20108138053644,XGB,TROPOMI
1,Fribourg-Chamblioux,31.7258064516129,traffic,2577125,1184538,33.44611740112305,5,36.722862243652344,1,32.16792678833008,41.81333923339844,-1.7203109495101465,-4.997055792039443,-0.44212033671717776,-10.087532781785537,XGB,TROPOMI
1,Fribourg-Parc-Pérolles,19.2903225806452,background,2578181,1182941,18.716161727905273,2,23.878948211669922,1,23.18489646911621,19.944690704345703,0.5741608527399258,-4.588625631024723,-3.8945738884710117,-0.6543681237005039,XGB,TROPOMI
1,Genève-Necker,39.1806451612903,background,2499864,1118200,39.20237731933594,1,40.04313278198242,5,40.14445877075195,46.41000747680664,-0.021732158045637107,-0.8624876206921215,-0.9638136094616527,-7.22936231551634,XGB,TROPOMI
1,Giubiasco,27.0903225806452,industry,2720255,1114535,27.100767135620117,1,33.002132415771484,2,30.360986709594727,29.04690933227539,-0.010444554974917253,-5.911809835126284,-3.2706641289495266,-1.9565867516301907,XGB,TROPOMI
1,Härkingen-A1,39.9935483870968,traffic,2628875,1240185,39.41481018066406,3,37.27369689941406,5,40.400482177734375,41.39820098876953,0.5787382064327389,2.719851487682739,-0.4069337906375736,-1.4046526016727299,XGB,TROPOMI
1,Ittigen,25.7967741935484,background,2603050,1202815,25.42615509033203,4,23.776655197143555,1,23.70229721069336,23.458145141601562,0.37061910321637015,2.0201189964048467,2.094476982855042,2.338629051946839,XGB,TROPOMI
1,Jungfraujoch,0.18,background,2641910,1155280,0.055767662823200226,4,11.171165466308594,1,7.679322719573975,3.5228493213653564,0.12423233717679977,-10.991165466308594,-7.499322719573975,-3.3428493213653563,XGB,TROPOMI
1,La-Chaux-de-Fonds,25.9612903225806,traffic,2553467,1216963,26.333621978759766,2,30.361621856689453,4,33.182193756103516,36.62605285644531,-0.37233165617916697,-4.4003315341088545,-7.220903433522917,-10.664762533864714,XGB,TROPOMI
1,Langenthal,21.1709677419355,background,2626340,1228935,20.738229751586914,4,26.819843292236328,5,28.41468048095703,20.598783493041992,0.43273799034858484,-5.648875550300829,-7.243712739021532,0.5721842488935067,XGB,TROPOMI
1,Lausanne-César-Roux,30.8774193548387,traffic,2538695,1152615,32.548099517822266,5,36.80437469482422,4,37.237979888916016,42.13838577270508,-1.6706801629835653,-5.926955339985518,-6.360560534077315,-11.260966417866378,XGB,TROPOMI
1,Lausanne-Plaines-du-Loup,19.8551724137931,background,2537376,1154164,21.764230728149414,2,24.737560272216797,4,26.777324676513672,26.151329040527344,-1.9090583143563151,-4.882387858423698,-6.922152262720573,-6.296156626734245,XGB,TROPOMI
1,Le-Landeron,11.3129032258065,background,2571175,1210800,12.309521675109863,4,18.666772842407227,4,17.507505416870117,12.241491317749023,-0.9966184493033641,-7.353869616600727,-6.194602191063618,-0.9285880919425242,XGB,TROPOMI
1,Le-Locle,25.8483870967742,traffic,2548581,1212842,26.563547134399414,5,23.66325569152832,4,26.67582130432129,30.86551856994629,-0.7151600376252141,2.1851314052458797,-0.8274342075470891,-5.017131473172089,XGB,TROPOMI
1,Les-Giettes,4.32258064516129,background,2563267,1119297,4.401169776916504,2,7.464868545532227,5,6.100120544433594,5.798423767089844,-0.07858913175521387,-3.1422879003709365,-1.7775398992723037,-1.4758431219285537,XGB,TROPOMI
1,Locarno,30.72,traffic,2704690,1113855,31.249217987060547,5,37.83214569091797,2,32.92266845703125,35.7053337097168,-0.529217987060548,-7.11214569091797,-2.202668457031251,-4.985333709716798,XGB,TROPOMI
1,Lugano-Pregassona,28.1,background,2718385,1098300,28.44082260131836,2,24.973697662353516,2,24.186519622802734,32.30790710449219,-0.34082260131835795,3.126302337646486,3.913480377197267,-4.207907104492186,XGB,TROPOMI
1,Lugano-Università,34.6096774193548,background,2717615,1096645,34.52364730834961,4,33.76248550415039,2,39.92038345336914,42.44925308227539,0.08603011100519353,0.8471919152044123,-5.310706034014338,-7.839575662920588,XGB,TROPOMI
1,Lustenau Wiesenrain,28.9225806451613,background,2767146,1253330,28.585655212402344,5,24.805484771728516,1,24.78359603881836,27.41776466369629,0.3369254327589566,4.117095873432785,4.138984606342941,1.5048159814650113,XGB,TROPOMI
1,Luzern-Moosstrasse,42.6096774193548,traffic,2665789,1210898,42.862606048583984,5,38.12379837036133,4,39.05036163330078,46.097347259521484,-0.25292862922918147,4.485879048993475,3.5593157860540217,-3.4876698401666815,XGB,TROPOMI
1,Magadino-Cadenazzo,23.541935483871,background,2715500,1113200,23.29541778564453,4,15.192673683166504,2,18.937816619873047,25.185075759887695,0.2465176982264694,8.349261800704497,4.604118863997954,-1.6431402760166947,XGB,TROPOMI
1,Massongex,22.2870967741935,industry,2564941,1121275,21.698305130004883,5,19.63382911682129,5,17.888742446899414,23.627180099487305,0.5887916441886176,2.6532676573722114,4.398354327294086,-1.3400833252938043,XGB,TROPOMI
1,Mendrisio-A2,45.87,traffic,2719472,1081336,45.64584732055664,3,51.12687683105469,2,44.732765197753906,49.87255096435547,0.22415267944335682,-5.25687683105469,1.1372348022460912,-4.002550964355471,XGB,TROPOMI
1,Mesocco-A13,10.7137931034483,traffic,2738060,1139050,10.809733390808105,2,29.198057174682617,2,27.930326461791992,20.80542755126953,-0.09594028735980586,-18.484264071234318,-17.216533358343693,-10.091634447821232,XGB,TROPOMI
1,Meyrin-Vaudagne,21.0645161290323,background,2494742,1120874,20.374279022216797,2,24.78388786315918,5,23.91921043395996,20.801816940307617,0.690237106815502,-3.719371734126881,-2.854694304927662,0.2626991887246817,XGB,TROPOMI
1,Moleno-A2,36.4483870967742,traffic,2719940,1126560,37.49466323852539,2,29.744104385375977,2,33.70878982543945,49.810237884521484,-1.0462761417511928,6.704282711398221,2.7395972713347447,-13.361850787747287,XGB,TROPOMI
1,Montana,17.7451612903226,background,2603346,1128235,17.999088287353516,3,13.981220245361328,2,19.669498443603516,22.391122817993164,-0.25392699703091637,3.763941044961271,-1.9243371532809164,-4.645961527670565,XGB,TROPOMI
1,Montreux,23.9677419354839,background,2559500,1142490,24.481897354125977,3,30.50662612915039,5,31.38433837890625,29.061798095703125,-0.5141554186420763,-6.53888419366649,-7.41659644342235,-5.094056160219225,XGB,TROPOMI
1,Morges,26.1,background,2527930,1151552,26.254880905151367,5,36.79111099243164,4,39.931480407714844,32.06755828857422,-0.15488090515136577,-10.69111099243164,-13.831480407714842,-5.967558288574217,XGB,TROPOMI
1,Muttenz-Hard-A2,53.6129032258064,traffic,2615780,1265295,51.037776947021484,3,42.6052360534668,5,42.41242218017578,48.79298782348633,2.5751262787849143,11.007667172339602,11.200481045630617,4.8199154023200705,XGB,TROPOMI
1,Neuchâtel,29.4888888888889,traffic,2561518,1204935,28.4730224609375,1,28.600385665893555,4,33.81269836425781,35.716888427734375,1.0158664279514014,0.8885032229953467,-4.323809475368911,-6.227999538845474,XGB,TROPOMI
1,Neuhausen-Schaffhauserstrasse,36.9612903225806,traffic,2688816,1282412,35.29438018798828,1,28.804222106933594,3,28.689464569091797,36.91442108154297,1.666910134592321,8.157068215647008,8.271825753488805,0.04686924103763346,XGB,TROPOMI
1,Nyon-Hôpital,20.4870967741935,background,2506900,1137640,22.172149658203125,1,23.088550567626953,5,25.828767776489258,23.256067276000977,-1.6850528840096253,-2.6014537934334534,-5.341671002295758,-2.768970501807477,XGB,TROPOMI
1,Opfikon-Balsberg,44.4741935483871,traffic,2685351,1254830,43.011470794677734,2,37.3015022277832,3,39.5521240234375,41.329246520996094,1.4627227537093646,7.172691320603896,4.922069524949599,3.144947027391005,XGB,TROPOMI
1,Opfikon-Glattpark,29.8964285714286,background,2684665,1253012,31.64008331298828,2,28.306013107299805,3,28.890674591064453,32.08845138549805,-1.7436547415596806,1.590415464128796,1.0057539803641475,-2.192022814069446,XGB,TROPOMI
1,Payerne,16.8258064516129,background,2562285,1184775,16.995317459106445,1,20.44255828857422,4,18.677013397216797,17.04428482055664,-0.16951100749354708,-3.6167518369613205,-1.8512069456038986,-0.2184783689437424,XGB,TROPOMI
1,Rapperswil-Tüchelweier,32.0444444444444,traffic,2704856,1231660,31.50897216796875,2,30.81614875793457,3,30.254981994628906,33.35525131225586,0.5354722764756517,1.2282956865098313,1.7894624498154954,-1.3108068678114577,XGB,TROPOMI
1,Reiden-A2,32.9645161290323,traffic,2639560,1232110,31.782207489013672,5,36.431941986083984,5,39.96460723876953,32.45478057861328,1.1823086400186256,-3.467425857051687,-7.000091109737234,0.5097355504190162,XGB,TROPOMI
1,Rigi-Seebodenalp,6.98387096774194,background,2677835,1213440,7.4535369873046875,4,12.98369026184082,4,14.05732536315918,7.3324151039123535,-0.4696660195627471,-5.99981929409888,-7.073454395417239,-0.34854413617041313,XGB,TROPOMI
1,Rothenbrunnen-A13,37.3322580645161,traffic,2751540,1181150,36.45745849609375,4,23.89295196533203,1,28.91598892211914,36.37007522583008,0.8747995684223469,13.439306099184066,8.416269142396956,0.9621828386860187,XGB,TROPOMI
1,San-Vittore,24.174193548387102,traffic,2728549,1122183,23.40559196472168,3,18.701690673828125,2,25.47376251220703,24.009204864501953,0.7686015836654221,5.472502874558977,-1.2995689638199295,0.16498868388514865,XGB,TROPOMI
1,Saxon,23.8,background,2577566,1109764,24.034700393676758,3,18.882125854492188,2,17.282798767089844,26.338909149169922,-0.2347003936767571,4.917874145507813,6.517201232910157,-2.538909149169921,XGB,TROPOMI
1,Schupfart-Blind,15.2290322580645,background,2639304,1263441,14.075882911682129,3,9.340489387512207,5,11.734811782836914,12.264724731445312,1.1531493463823708,5.888542870552293,3.4942204752275856,2.964307526619187,XGB,TROPOMI
1,Schwyz,28.3935483870968,background,2691911,1208039,28.00084686279297,3,27.946630477905273,4,30.040164947509766,28.648082733154297,0.3927015243038312,0.4469179091915265,-1.6466165604129657,-0.2545343460574969,XGB,TROPOMI
1,Sion,33.2033333333333,traffic,2593702,1120409,34.509971618652344,2,41.72654342651367,2,31.90656089782715,40.9727668762207,-1.3066382853190461,-8.523210093180374,1.2967724355061492,-7.7694335428874055,XGB,TROPOMI
1,Sion-Aéroport-A9,48.2483870967742,traffic,2592540,1118755,47.45143127441406,1,34.76944351196289,2,34.39474868774414,51.739295959472656,0.7969558223601396,13.478943584811311,13.853638409030061,-3.490908862698454,XGB,TROPOMI
1,Sissach-Bützenen,24.0967741935484,background,2628415,1257193,24.048328399658203,3,24.376453399658203,5,25.868547439575195,22.42913818359375,0.04844579389019543,-0.27967920610980457,-1.7717732460267968,1.6676360099546486,XGB,TROPOMI
1,Solothurn-Altwyberhüsli,25.2724137931034,background,2607067,1229160,24.93388557434082,2,24.1051025390625,5,22.873876571655273,21.072206497192383,0.33852821876257977,1.1673112540409,2.3985372214481266,4.200207295911017,XGB,TROPOMI
1,Solothurn-Werkhofstrasse,30.4870967741935,traffic,2607259,1228757,29.501964569091797,3,26.939369201660156,5,25.851383209228516,28.720346450805664,0.9851322051017029,3.5477275725333435,4.635713564964984,1.7667503233878357,XGB,TROPOMI
1,St-Gallen-Blumenbergplatz,42.2612903225806,traffic,2746011,1254720,41.85198211669922,3,33.00322723388672,3,31.448028564453125,44.927032470703125,0.4093082058813806,9.25806308869388,10.813261758127474,-2.6657421481225256,XGB,TROPOMI
1,St-Gallen-Stuelegg,11.2677419354839,background,2747601,1252530,10.768035888671875,5,10.288016319274902,1,9.76525592803955,8.149053573608398,0.49970604681202424,0.9797256162089969,1.5024860074443485,3.118688361875501,XGB,TROPOMI
1,Tänikon,16.8290322580645,background,2710500,1259810,17.832109451293945,5,18.111438751220703,3,20.423084259033203,16.366655349731445,-1.0030771932294442,-1.282406493156202,-3.594052000968702,0.4623769083330558,XGB,TROPOMI
1,Thônex-Foron,25.3806451612903,background,2505254,1116758,23.897645950317383,1,22.97273826599121,5,24.547780990600586,25.60943031311035,1.4829992109729169,2.4079068952990887,0.8328641706897137,-0.22878515182005188,XGB,TROPOMI
1,Thun-Bälliz,29.8103448275862,background,2614380,1178750,29.018964767456055,5,28.435853958129883,1,32.41232681274414,33.829017639160156,0.7913800601301446,1.3744908694563165,-2.6019819851579413,-4.018672811573957,XGB,TROPOMI
1,Thun-Pestalozzi,23.5290322580645,background,2614075,1178160,24.25162696838379,5,25.612831115722656,1,22.791128158569336,25.027788162231445,-0.7225947103192887,-2.083798857658156,0.7379040994951644,-1.498755904166945,XGB,TROPOMI
1,Winterthur-Veltheim,23.2838709677419,background,2696556,1262725,24.523786544799805,3,24.178518295288086,3,24.8687744140625,23.01746940612793,-1.2399155770579036,-0.8946473275461848,-1.5849034463205989,0.26640156161397144,XGB,TROPOMI
1,Yverdon-les-Bains,21.2612903225806,background,2538615,1181105,21.059436798095703,4,22.837142944335938,4,27.172056198120117,24.46873664855957,0.20185352448489624,-1.5758526217553381,-5.910765875539518,-3.207446325978971,XGB,TROPOMI
1,Zug,30.6290322580645,traffic,2681625,1224641,31.491050720214844,5,24.753482818603516,3,22.031091690063477,35.34061813354492,-0.8620184621503455,5.875549439460983,8.597940568001022,-4.711585875480424,XGB,TROPOMI
1,Zürich-Heubeeribüel,19.751724137931,background,2685126,1248460,19.34537124633789,4,23.23374366760254,3,24.881168365478516,16.751123428344727,0.4063528915931087,-3.4820195296715397,-5.129444227547516,3.000600709586273,XGB,TROPOMI
1,Zürich-Kaserne,29.6966666666667,background,2682450,1247990,27.978654861450195,1,25.593584060668945,3,26.904308319091797,32.179969787597656,1.7180118052165056,4.103082605997756,2.792358347574904,-2.4833031209309553,XGB,TROPOMI
1,Zürich-Rosengartenstrasse,45.1741935483871,traffic,2682096,1249940,44.907222747802734,2,38.501060485839844,3,40.247093200683594,48.70782470703125,0.2669708005843674,6.673133062547258,4.927100347703508,-3.5336311586441482,XGB,TROPOMI
